,0
0,11613.14875
1,11569.4875
2,11496.58875
3,11419.0375
4,11383.215
5,11333.16625
6,11198.63375
7,11195.515
8,11174.865
9,10985.22625
10,10867.0975
11,10867.8925
12,10876.88
13,10801.24375
14,10774.05375
15,10620.09125
16,10629.845
17,10564.065
18,10543.79125
19,10426.056875
20,10403.79125
21,10333.936875
22,10338.249375
23,10271.2025
24,10196.35125
25,10245.12375
26,10179.16
27,10091.20125
28,10066.386875
29,10076.1975
30,9999.379375
31,9964.515
32,9942.009375
33,9953.17375
34,9904.05625
35,9793.4275
36,9791.29875
37,9814.735625
38,9733.788125
39,9714.07
40,9735.135
41,9680.399375
42,9659.0675
43,9619.418125
44,9661.6825
45,9564.660625
46,9527.75625
47,9536.3825
48,9506.185625
49,9431.26375
50,9459.584375
51,9434.044375
52,9424.770625
53,9388.12375
54,9377.463125
55,9371.661875
56,9371.800625
57,9307.061875
58,9275.34875
59,9263.94875
60,9255.216875
61,9235.54125
62,9226.36375
63,9238.64125
64,9197.161875
65,9180.2325
66,9161.28625
67,9170.3325
68,9130.255
69,9137.938125
70,9123.5275
71,9101.691875
72,9074.56
73,9070.7575
74,9033.839375
75,9036.92125
76,9019.843125
77,9012.960625
78,9021.209375
79,9006.37875
80,8999.3075
81,8965.648125
82,8955.550625
83,8947.56875
84,8965.07375
85,8933.88375
86,8922.618125
87,8902.919375
88,8891.13
89,8897.63125
90,8908.4825
91,8877.934375
92,8863.733125
93,8877.94
94,8869.035625
95,8842.435
96,8856.795625
97,8839.745
98,8827.6025
99,8815.81625
100,8822.213125
101,8811.40625
102,8809.824375
103,8780.29
104,8787.628125
105,8778.378125
106,8768.8425
107,8775.906875
108,8758.69375
109,8761.665
110,8758.058125
111,8746.115625
112,8735.1425
113,8738.970625
114,8724.508125
115,8716.08875
116,8706.219375
117,8701.50125
118,8707.630625
119,8704.759375
120,8701.8075
121,8694.14625
122,8677.690625
123,8683.455
124,8682.036875
125,8679.435625
126,8661.60375
127,8649.138125
128,8653.8325
129,8658.583125
130,8638.600625
131,8640.13625
132,8637.309375
133,8627.94875
134,8628.83
135,8630.55125
136,8632.351875
137,8624.60375
138,8607.313125
139,8613.96125
140,8602.671875
141,8591.324375
142,8599.884375
