,0
0,17778.715
1,17578.18
2,17464.2225
3,17397.62
4,17268.05125
5,17094.91
6,16967.4
7,16901.30125
8,16881.42625
9,16738.7125
10,16537.27875
11,16535.705
12,16466.9475
13,16308.3375
14,16364.4525
15,16195.2325
16,16111.605
17,15990.41375
18,15955.8375
19,15886.44
20,15826.55875
21,15750.5175
22,15695.43625
23,15561.65625
24,15463.56875
25,15489.16625
26,15398.20875
27,15315.175
28,15215.27
29,15221.80875
30,15090.81625
31,15071.39375
32,15007.0575
33,14932.5775
34,14875.98
35,14848.09125
36,14805.555
37,14708.805
38,14702.03875
39,14668.37625
40,14679.39875
41,14513.69
42,14479.31375
43,14458.6975
44,14456.8075
45,14399.2025
46,14303.3225
47,14276.11375
48,14285.49625
49,14197.62875
50,14157.20375
51,14130.63375
52,14104.01625
53,14028.87625
54,14038.27
55,14011.44
56,13967.78375
57,13922.03125
58,13871.475
59,13843.45
60,13822.94375
61,13812.875
62,13806.1875
63,13742.20875
64,13743.20125
65,13705.58
66,13661.6975
67,13652.02875
68,13616.62375
69,13587.715
70,13575.75875
71,13549.07625
72,13532.75625
73,13504.73125
74,13490.1375
75,13461.285
76,13441.18125
77,13416.53875
78,13403.88375
79,13379.89625
80,13379.35625
81,13345.74125
82,13297.115
83,13268.0825
84,13286.16625
85,13263.70125
86,13267.2125
87,13208.815
88,13204.055
89,13227.0875
90,13194.07375
91,13170.40875
92,13174.175
93,13149.71375
94,13146.07875
95,13122.38625
96,13090.355
97,13098.4375
98,13093.06125
99,13053.97125
100,13064.78
101,13046.6325
102,13026.33
103,13033.83875
104,13016.06875
105,12995.87875
106,12973.915
107,12973.09875
108,12961.94375
109,12943.92375
110,12947.80125
111,12951.74375
112,12911.98625
113,12903.335
114,12889.6025
115,12910.5175
116,12889.57
117,12901.47
118,12883.61625
119,12885.20125
120,12872.485
121,12855.9775
122,12841.11875
123,12849.47
124,12827.27125
125,12811.1475
126,12809.53125
127,12810.2125
128,12794.35125
129,12805.2625
130,12789.8375
131,12770.6875
132,12769.9875
133,12755.4275
134,12768.75
135,12750.59125
136,12719.01125
137,12743.61125
138,12721.2875
139,12720.33125
140,12738.16875
141,12714.16
142,12705.71625
143,12686.2775
144,12699.005
145,12689.75625
146,12692.48625
147,12679.65625
148,12681.88875
149,12668.81375
150,12660.62625
151,12663.705
152,12653.73375
153,12649.57625
154,12648.91625
155,12630.53375
156,12640.0325
157,12628.65875
158,12624.065
159,12619.595
160,12616.8025
161,12609.0625
162,12605.29875
163,12612.4175
164,12594.065
165,12586.09875
166,12592.315
167,12586.67375
168,12583.33
169,12592.9375
170,12569.085
171,12576.62625
172,12565.97375
173,12562.64125
174,12570.865
175,12557.85625
176,12556.33875
177,12548.57125
178,12541.18875
179,12533.24
180,12543.58125
181,12530.785
182,12528.76125
183,12521.21125
184,12528.6925
185,12524.2775
186,12514.6725
187,12502.13
188,12514.98
189,12517.3125
190,12503.82625
191,12502.89125
192,12494.4325
193,12509.65375
194,12494.2075
195,12492.32625
196,12493.62
197,12489.0075
198,12487.60625
199,12474.31875
200,12481.12875
201,12473.27125
202,12468.3875
203,12465.055
204,12463.00125
205,12464.3275
206,12455.585
207,12455.26
208,12450.4625
209,12451.91875
210,12439.09125
211,12441.71375
212,12443.875
213,12442.90875
214,12438.37625
215,12445.03375
216,12438.235
217,12435.17375
218,12424.92
219,12431.27
220,12426.445
221,12419.5075
222,12421.4525
223,12420.9475
224,12420.385
225,12411.92375
226,12415.035
227,12407.915
228,12400.9175
229,12402.18
230,12395.985
231,12399.62125
232,12393.19375
233,12387.7375
234,12390.1825
235,12389.09875
236,12394.34375
237,12379.92
238,12388.885
239,12381.62875
240,12377.90875
241,12382.21375
242,12381.3175
243,12368.78375
244,12374.10875
245,12368.33625
246,12371.82625
247,12371.1225
248,12362.45625
249,12367.32625
250,12366.59875
251,12357.9125
252,12363.82375
253,12359.55375
254,12360.2275
255,12355.98125
256,12343.775
257,12349.4625
258,12353.555
