,0
0,12432.3825
1,12268.55875
2,12234.8
3,12141.4175
4,12107.25875
5,11954.21625
6,11955.65
7,11855.03375
8,11683.90125
9,11737.17125
10,11630.68375
11,11596.41
12,11519.885
13,11533.77625
14,11421.83
15,11347.2275
16,11369.77875
17,11276.24125
18,11227.88125
19,11201.8275
20,11117.52625
21,11126.0375
22,11037.68875
23,11027.25375
24,10886.5675
25,10925.9725
26,10860.4375
27,10823.1475
28,10806.2975
29,10754.78625
30,10691.17125
31,10641.0575
32,10670.06875
33,10623.64375
34,10556.63
35,10559.99375
36,10479.380625
37,10448.506875
38,10426.405625
39,10356.828125
40,10317.345
41,10356.154375
42,10329.4725
43,10282.168125
44,10259.443125
45,10246.60625
46,10214.63125
47,10152.60125
48,10161.885625
49,10136.010625
50,10125.678125
51,10113.87
52,10075.1875
53,10031.685
54,10051.31125
55,9962.086875
56,9999.5625
57,9945.95125
58,9930.0125
59,9937.82375
60,9915.946875
61,9890.1925
62,9853.02
63,9848.24125
64,9827.948125
65,9821.083125
66,9790.7025
67,9784.8725
68,9767.464375
69,9752.264375
70,9731.845625
71,9741.006875
72,9697.210625
73,9673.9425
74,9674.3725
75,9654.201875
76,9658.888125
77,9650.623125
78,9630.9775
79,9605.76875
80,9595.695625
81,9583.81125
82,9593.868125
83,9553.95875
84,9569.325625
85,9551.566875
86,9530.055625
87,9534.391875
88,9504.59125
89,9506.131875
90,9507.984375
91,9481.965
92,9486.828125
93,9455.956875
94,9450.1125
95,9455.25625
96,9429.590625
97,9435.765
98,9414.80875
99,9410.045
100,9421.166875
101,9403.130625
102,9388.8225
103,9380.68125
104,9380.394375
105,9357.314375
106,9372.261875
107,9338.38
108,9358.054375
109,9348.731875
110,9335.914375
111,9331.124375
112,9321.4775
113,9314.18625
114,9314.7875
115,9303.69875
116,9285.470625
117,9289.15375
118,9294.605625
119,9276.10875
120,9283.2225
121,9271.041875
122,9262.358125
123,9266.929375
124,9262.87125
125,9268.7225
126,9245.670625
127,9238.47125
128,9222.21125
129,9232.264375
130,9233.924375
131,9237.631875
132,9230.26125
133,9204.7075
134,9205.494375
135,9199.960625
136,9196.213125
137,9195.621875
138,9186.563125
139,9187.22
140,9175.581875
141,9170.728125
142,9170.5475
143,9170.95875
144,9171.893125
145,9160.27375
146,9164.6425
147,9147.8575
148,9144.05
149,9146.5425
150,9145.541875
151,9132.87875
152,9139.641875
153,9124.8825
154,9137.126875
155,9128.061875
156,9120.3175
157,9126.894375
158,9117.425
159,9121.18125
160,9103.909375
161,9093.73
162,9108.100625
163,9097.799375
164,9106.1225
165,9085.794375
166,9095.94125
167,9076.58875
168,9079.698125
169,9082.519375
170,9072.01375
171,9075.085
172,9071.385
173,9063.365625
174,9067.060625
175,9068.1825
176,9066.310625
177,9058.58125
178,9060.659375
179,9047.881875
180,9046.859375
181,9058.94
182,9056.5775
183,9047.784375
184,9043.18
185,9041.964375
186,9035.159375
187,9026.858125
188,9040.44875
189,9031.98875
190,9028.17375
191,9024.505
192,9022.54625
193,9011.079375
194,9017.229375
195,9010.946875
196,9019.109375
197,9015.6975
198,9012.414375
199,9007.23625
200,9009.84375
201,9005.2125
202,8991.94125
203,9002.5975
204,8993.19375
205,9001.589375
206,8996.37125
207,8995.23625
208,8988.789375
209,8982.76625
210,8993.416875
211,8979.799375
212,8981.5
213,8985.585625
214,8978.1475
215,8982.456875
216,8985.876875
217,8971.753125
218,8965.725625
219,8972.516875
220,8971.241875
221,8974.7775
222,8963.100625
223,8965.530625
224,8962.22125
225,8962.07125
226,8958.581875
227,8958.514375
228,8956.69
229,8949.83
230,8957.45375
231,8956.515
232,8956.858125
233,8949.3075
234,8949.304375
235,8946.655
236,8947.769375
237,8955.641875
238,8945.6925
239,8938.74
240,8937.23875
241,8938.65875
242,8940.02125
243,8933.78375
244,8932.411875
245,8930.748125
246,8928.379375
247,8924.3225
248,8928.58
249,8926.718125
250,8924.13875
251,8922.2275
252,8922.07875
253,8923.835625
254,8924.068125
255,8923.66125
256,8918.128125
257,8917.910625
258,8914.240625
259,8914.614375
260,8910.201875
261,8915.68375
262,8909.658125
263,8911.8075
264,8908.346875
265,8904.205625
266,8906.226875
267,8900.861875
268,8904.98
269,8903.715
270,8900.5425
271,8900.11
272,8900.013125
273,8899.843125
274,8902.109375
275,8893.0925
276,8887.84625
277,8893.22
278,8894.481875
279,8890.481875
280,8894.255
281,8883.704375
282,8889.875625
283,8887.451875
284,8886.6
285,8886.381875
286,8888.513125
287,8882.935
288,8881.39875
289,8884.614375
290,8878.925
291,8881.306875
292,8880.544375
293,8879.665
294,8872.00375
295,8870.65625
296,8874.958125
297,8875.966875
298,8871.601875
299,8870.443125
300,8868.230625
301,8873.175625
302,8866.470625
303,8877.25125
304,8867.185625
