,subject,parameter,value,ID
0,1,$\theta$,-0.6277605891227722,00792
1,2,$\theta$,-0.5954443216323853,00882
2,3,$\theta$,-0.07610967755317688,01291
3,4,$\theta$,-0.3528009057044983,01366
4,5,$\theta$,-0.24634674191474915,01469
5,6,$\theta$,-1.3162513971328735,01482
6,7,$\theta$,-0.6209930181503296,01526
7,8,$\theta$,-0.6204220056533813,01664
8,9,$\theta$,-0.5781453251838684,01758
9,10,$\theta$,-0.4808764159679413,01805
10,11,$\theta$,0.2653510570526123,01807
11,12,$\theta$,-1.1127997636795044,01841
12,13,$\theta$,-0.5113987922668457,01876
13,14,$\theta$,-0.4646754860877991,01878
14,15,$\theta$,-0.2247418761253357,02137
15,16,$\theta$,-0.9239934086799622,02366
16,17,$\theta$,-0.20691663026809692,02427
17,18,$\theta$,-0.43153709173202515,02559
18,19,$\theta$,-0.5006805658340454,02571
19,20,$\theta$,-0.06994478404521942,02625
20,21,$\theta$,0.07698437571525574,02628
21,22,$\theta$,-0.36559295654296875,02629
22,23,$\theta$,0.17663413286209106,02654
23,24,$\theta$,-0.22102290391921997,02656
24,25,$\theta$,-0.1716383397579193,02684
25,26,$\theta$,-0.15299104154109955,02719
26,27,$\theta$,-0.9308924674987793,02747
27,28,$\theta$,-0.7312506437301636,02750
28,29,$\theta$,-0.16073094308376312,02796
29,30,$\theta$,-0.18483248353004456,02797
30,31,$\theta$,-0.3191874325275421,02820
31,32,$\theta$,-0.32083484530448914,02916
32,33,$\theta$,-0.03061261773109436,02935
33,34,$\theta$,-0.17839381098747253,02948
34,35,$\theta$,-0.9874436855316162,02965
35,36,$\theta$,-0.806039571762085,03016
36,37,$\theta$,-0.16516157984733582,03028
37,38,$\theta$,-0.6047863960266113,03029
38,39,$\theta$,0.09072819352149963,03092
39,40,$\theta$,-0.3005968928337097,03257
40,41,$\theta$,-0.4213182330131531,03262
41,42,$\theta$,-0.6263375282287598,03362
42,43,$\theta$,-0.4249436855316162,03379
43,44,$\theta$,0.2552871108055115,03435
44,45,$\theta$,0.05616924166679382,12647
45,1,$\theta$,-0.5894178748130798,00792
46,2,$\theta$,-0.2685449421405792,00882
47,3,$\theta$,-0.2758709192276001,01291
48,4,$\theta$,-0.5773062705993652,01366
49,5,$\theta$,-0.6250127553939819,01469
50,6,$\theta$,-1.2444456815719604,01482
51,7,$\theta$,-0.30067890882492065,01526
52,8,$\theta$,-0.8126006126403809,01664
53,9,$\theta$,-0.331263929605484,01758
54,10,$\theta$,-0.47040361166000366,01805
55,11,$\theta$,0.27159738540649414,01807
56,12,$\theta$,-0.9892397522926331,01841
57,13,$\theta$,-0.39425209164619446,01876
58,14,$\theta$,-0.2164207398891449,01878
59,15,$\theta$,-0.36953651905059814,02137
60,16,$\theta$,-0.7197674512863159,02366
61,17,$\theta$,-0.24178148806095123,02427
62,18,$\theta$,-0.4617573022842407,02559
63,19,$\theta$,-0.3282123804092407,02571
64,20,$\theta$,0.03959812968969345,02625
65,21,$\theta$,-0.08419656753540039,02628
66,22,$\theta$,0.0023051053285598755,02629
67,23,$\theta$,0.08704912662506104,02654
68,24,$\theta$,-0.009968161582946777,02656
69,25,$\theta$,-0.3712407052516937,02684
70,26,$\theta$,-0.021631479263305664,02719
71,27,$\theta$,-1.0365992784500122,02747
72,28,$\theta$,-0.6294937133789062,02750
73,29,$\theta$,0.12683436274528503,02796
74,30,$\theta$,-0.28673654794692993,02797
75,31,$\theta$,-0.5556436777114868,02820
76,32,$\theta$,-0.31795912981033325,02916
77,33,$\theta$,-0.08058042824268341,02935
78,34,$\theta$,-0.27933210134506226,02948
79,35,$\theta$,-1.1303966045379639,02965
80,36,$\theta$,-0.6280016899108887,03016
81,37,$\theta$,-0.17528599500656128,03028
82,38,$\theta$,-0.5746206045150757,03029
83,39,$\theta$,0.04029495641589165,03092
84,40,$\theta$,-0.40434524416923523,03257
85,41,$\theta$,-0.5135344862937927,03262
86,42,$\theta$,-0.44986194372177124,03362
87,43,$\theta$,-0.09748604893684387,03379
88,44,$\theta$,0.39462146162986755,03435
89,45,$\theta$,-0.28718259930610657,12647
90,1,$\theta$,-1.0310033559799194,00792
91,2,$\theta$,-0.438668429851532,00882
92,3,$\theta$,-0.3003356456756592,01291
93,4,$\theta$,-0.9245281219482422,01366
94,5,$\theta$,-0.24165722727775574,01469
95,6,$\theta$,-1.368518590927124,01482
96,7,$\theta$,-0.4416199326515198,01526
97,8,$\theta$,-0.7001909613609314,01664
98,9,$\theta$,-0.41909462213516235,01758
