,subject,parameter,value,ID
0,1,$\theta$,-0.2297382354736328,00513
1,2,$\theta$,-0.13275155425071716,01063
2,3,$\theta$,-0.8587232828140259,01079
3,4,$\theta$,0.24163633584976196,01101
4,5,$\theta$,-0.13812683522701263,01104
5,6,$\theta$,-1.0374348163604736,01261
6,7,$\theta$,0.08580232411623001,01268
7,8,$\theta$,-0.5552626252174377,01271
8,9,$\theta$,-0.4065037667751312,01272
9,10,$\theta$,-0.34459006786346436,01281
10,11,$\theta$,-0.3650535047054291,01293
11,12,$\theta$,0.34564968943595886,01320
12,13,$\theta$,-0.19958797097206116,01323
13,14,$\theta$,-0.1577271819114685,01326
14,15,$\theta$,-0.661710262298584,01332
15,16,$\theta$,-0.8512338399887085,01335
16,17,$\theta$,-0.6231553554534912,01343
17,18,$\theta$,0.17868438363075256,01344
18,19,$\theta$,-0.7707670331001282,01351
19,20,$\theta$,-0.5478875041007996,01354
20,21,$\theta$,-0.020035266876220703,01355
21,22,$\theta$,-0.20787575840950012,01356
22,23,$\theta$,-0.5975311398506165,01358
23,24,$\theta$,-0.015823498368263245,01379
24,25,$\theta$,-0.4256858825683594,01390
25,26,$\theta$,-0.7383975982666016,01414
26,27,$\theta$,-0.8614816069602966,01443
27,28,$\theta$,-0.5034403800964355,01447
28,29,$\theta$,-0.7785745859146118,01448
29,30,$\theta$,-0.09798654913902283,01449
30,31,$\theta$,-0.2290036380290985,01456
31,32,$\theta$,-0.6059143543243408,01457
32,33,$\theta$,-1.015821099281311,01460
33,34,$\theta$,-0.11893588304519653,01476
34,35,$\theta$,-0.9504623413085938,01547
35,36,$\theta$,-0.8786097764968872,01549
36,37,$\theta$,-0.03249964490532875,01560
37,38,$\theta$,-0.2360728234052658,01561
38,39,$\theta$,-0.8655471205711365,01611
39,40,$\theta$,-0.8230849504470825,01614
40,41,$\theta$,-0.2604532241821289,01630
41,42,$\theta$,-0.5165791511535645,01646
42,43,$\theta$,-1.0024319887161255,01647
43,44,$\theta$,-1.246769666671753,01840
44,45,$\theta$,-0.14814256131649017,01861
45,1,$\theta$,-0.6224184036254883,00513
46,2,$\theta$,-0.2786831259727478,01063
47,3,$\theta$,-0.8867893218994141,01079
48,4,$\theta$,0.35479143261909485,01101
49,5,$\theta$,-0.15280771255493164,01104
50,6,$\theta$,-1.5914828777313232,01261
51,7,$\theta$,0.07970913499593735,01268
52,8,$\theta$,-1.0211327075958252,01271
53,9,$\theta$,-0.2400107979774475,01272
54,10,$\theta$,-0.17187118530273438,01281
55,11,$\theta$,-0.3615242540836334,01293
56,12,$\theta$,0.3485550582408905,01320
57,13,$\theta$,-0.070667564868927,01323
58,14,$\theta$,-0.05109725892543793,01326
59,15,$\theta$,-0.34959492087364197,01332
60,16,$\theta$,-0.8172599077224731,01335
61,17,$\theta$,-0.32532554864883423,01343
62,18,$\theta$,0.30950382351875305,01344
63,19,$\theta$,-0.9640870094299316,01351
64,20,$\theta$,-0.4454064965248108,01354
65,21,$\theta$,-0.07305476069450378,01355
66,22,$\theta$,-0.49496182799339294,01356
67,23,$\theta$,-0.5029051899909973,01358
68,24,$\theta$,-0.09118698537349701,01379
69,25,$\theta$,-0.5514451861381531,01390
70,26,$\theta$,-0.41508662700653076,01414
71,27,$\theta$,-1.0331313610076904,01443
72,28,$\theta$,-0.6929481625556946,01447
73,29,$\theta$,-0.9024603366851807,01448
74,30,$\theta$,-0.3167731761932373,01449
75,31,$\theta$,-0.12136049568653107,01456
76,32,$\theta$,-0.7972407341003418,01457
77,33,$\theta$,-1.084764003753662,01460
78,34,$\theta$,-0.2150404304265976,01476
79,35,$\theta$,-0.8669945001602173,01547
80,36,$\theta$,-0.43409091234207153,01549
81,37,$\theta$,-0.01637294515967369,01560
82,38,$\theta$,-0.3222908675670624,01561
83,39,$\theta$,-0.593559980392456,01611
84,40,$\theta$,-0.5623811483383179,01614
85,41,$\theta$,-0.43129903078079224,01630
86,42,$\theta$,-0.831048309803009,01646
87,43,$\theta$,-0.890937328338623,01647
88,44,$\theta$,-1.2801295518875122,01840
89,45,$\theta$,-0.26178669929504395,01861
90,1,$\theta$,-0.40572917461395264,00513
91,2,$\theta$,-0.21290019154548645,01063
92,3,$\theta$,-0.8737722635269165,01079
93,4,$\theta$,0.1049669086933136,01101
94,5,$\theta$,0.027765274047851562,01104
95,6,$\theta$,-1.0946704149246216,01261
96,7,$\theta$,-0.15659990906715393,01268
97,8,$\theta$,-1.0534627437591553,01271
98,9,$\theta$,-0.2988874912261963,01272
99,10,$\theta$,-0.14331157505512238,01281
100,11,$\theta$,-0.6064819097518921,01293
101,12,$\theta$,0.036906033754348755,01320
102,13,$\theta$,-0.34439602494239807,01323
103,14,$\theta$,-0.36347174644470215,01326
104,15,$\theta$,-0.7954797744750977,01332
105,16,$\theta$,-0.9033582806587219,01335
106,17,$\theta$,-0.4666495621204376,01343
107,18,$\theta$,0.11597670614719391,01344
108,19,$\theta$,-0.7168265581130981,01351
109,20,$\theta$,-0.6141032576560974,01354
110,21,$\theta$,-0.3471084237098694,01355
111,22,$\theta$,-0.5520617365837097,01356
112,23,$\theta$,-0.5051330327987671,01358
113,24,$\theta$,-0.09140477329492569,01379
114,25,$\theta$,-0.13680383563041687,01390
115,26,$\theta$,-0.9707818031311035,01414
116,27,$\theta$,-0.5543914437294006,01443
117,28,$\theta$,-0.7213138937950134,01447
118,29,$\theta$,-0.966500997543335,01448
119,30,$\theta$,-0.2656131386756897,01449
120,31,$\theta$,-0.4524734616279602,01456
121,32,$\theta$,-0.915590226650238,01457
122,33,$\theta$,-1.402323842048645,01460
123,34,$\theta$,-0.24176013469696045,01476
124,35,$\theta$,-0.9103134274482727,01547
125,36,$\theta$,-0.5590158700942993,01549
126,37,$\theta$,0.06392368674278259,01560
127,38,$\theta$,-0.43580684065818787,01561
128,39,$\theta$,-0.722058892250061,01611
129,40,$\theta$,-0.8238808512687683,01614
130,41,$\theta$,-0.2533489465713501,01630
131,42,$\theta$,-0.6743675470352173,01646
132,43,$\theta$,-1.0311622619628906,01647
133,44,$\theta$,-1.1216169595718384,01840
134,45,$\theta$,0.10674312710762024,01861
135,1,$\theta$,-0.5355165004730225,00513
136,2,$\theta$,-0.041170597076416016,01063
137,3,$\theta$,-0.6553764939308167,01079
138,4,$\theta$,-0.01525040715932846,01101
139,5,$\theta$,-0.1409282684326172,01104
140,6,$\theta$,-1.4605952501296997,01261
141,7,$\theta$,0.05662856251001358,01268
142,8,$\theta$,-0.9153603315353394,01271
143,9,$\theta$,-0.26172274351119995,01272
144,10,$\theta$,-0.07664819806814194,01281
145,11,$\theta$,-0.5357139706611633,01293
146,12,$\theta$,0.528290867805481,01320
147,13,$\theta$,-0.3511541783809662,01323
148,14,$\theta$,-0.06935161352157593,01326
149,15,$\theta$,-0.34298160672187805,01332
150,16,$\theta$,-1.0553098917007446,01335
151,17,$\theta$,-0.45796918869018555,01343
152,18,$\theta$,0.331906795501709,01344
153,19,$\theta$,-0.6205108165740967,01351
154,20,$\theta$,-0.6849954128265381,01354
155,21,$\theta$,-0.7220022082328796,01355
156,22,$\theta$,-0.18572910130023956,01356
157,23,$\theta$,-0.8382359743118286,01358
158,24,$\theta$,-0.18107827007770538,01379
159,25,$\theta$,-0.2736515998840332,01390
160,26,$\theta$,-0.5666941404342651,01414
161,27,$\theta$,-0.7119300365447998,01443
162,28,$\theta$,-0.63474041223526,01447
163,29,$\theta$,-0.883694589138031,01448
164,30,$\theta$,-0.4459901452064514,01449
165,31,$\theta$,-0.32955819368362427,01456
166,32,$\theta$,-0.6891376972198486,01457
167,33,$\theta$,-0.9404003620147705,01460
168,34,$\theta$,-0.2457781732082367,01476
169,35,$\theta$,-0.8143638372421265,01547
170,36,$\theta$,-0.6852867007255554,01549
171,37,$\theta$,0.34164923429489136,01560
172,38,$\theta$,-0.5191566348075867,01561
173,39,$\theta$,-0.9641724824905396,01611
174,40,$\theta$,-0.9154260158538818,01614
175,41,$\theta$,-0.5640647411346436,01630
176,42,$\theta$,-0.40104180574417114,01646
177,43,$\theta$,-1.0147690773010254,01647
178,44,$\theta$,-1.1592991352081299,01840
179,45,$\theta$,-0.17936372756958008,01861
180,1,$\theta$,-0.5805238485336304,00513
181,2,$\theta$,-0.26629701256752014,01063
182,3,$\theta$,-0.9912264347076416,01079
183,4,$\theta$,0.16028356552124023,01101
184,5,$\theta$,-0.21438470482826233,01104
185,6,$\theta$,-1.228358507156372,01261
186,7,$\theta$,0.1367717981338501,01268
187,8,$\theta$,-0.9745101928710938,01271
188,9,$\theta$,-0.1976894587278366,01272
189,10,$\theta$,-0.2309657782316208,01281
190,11,$\theta$,-0.5760536193847656,01293
191,12,$\theta$,0.3922768235206604,01320
192,13,$\theta$,-0.3947402834892273,01323
193,14,$\theta$,0.046037107706069946,01326
194,15,$\theta$,-0.45833802223205566,01332
195,16,$\theta$,-0.7470169067382812,01335
196,17,$\theta$,-0.5740549564361572,01343
197,18,$\theta$,0.3266175389289856,01344
198,19,$\theta$,-0.9599677920341492,01351
199,20,$\theta$,-0.3595532476902008,01354
200,21,$\theta$,-0.21006976068019867,01355
201,22,$\theta$,-0.5843058824539185,01356
202,23,$\theta$,-0.5804170370101929,01358
203,24,$\theta$,-0.20130309462547302,01379
204,25,$\theta$,-0.5162888765335083,01390
205,26,$\theta$,-0.7013472318649292,01414
