,subject,parameter,value,ID
0,1,$\theta$,-0.545659065246582,00390
1,2,$\theta$,-0.5966770052909851,00513
2,3,$\theta$,0.2638918161392212,01101
3,4,$\theta$,-0.36825451254844666,01102
4,5,$\theta$,-0.326213002204895,01104
5,6,$\theta$,-0.3772614002227783,01118
6,7,$\theta$,-0.43523532152175903,01129
7,8,$\theta$,-1.3070354461669922,01261
8,9,$\theta$,-0.18484675884246826,01268
9,10,$\theta$,-0.6443875432014465,01271
10,11,$\theta$,-0.28022199869155884,01272
11,12,$\theta$,-0.1111251637339592,01281
12,13,$\theta$,-0.659883439540863,01293
13,14,$\theta$,-0.36360102891921997,01323
14,15,$\theta$,-0.42336052656173706,01332
15,16,$\theta$,-0.5674468278884888,01334
16,17,$\theta$,-0.3451222777366638,01335
17,18,$\theta$,0.11685477197170258,01344
18,19,$\theta$,-0.6737527847290039,01351
19,20,$\theta$,-0.6302571892738342,01354
20,21,$\theta$,-0.2417306900024414,01355
21,22,$\theta$,-0.11742827296257019,01356
22,23,$\theta$,-0.6969023942947388,01357
23,24,$\theta$,-0.4785407781600952,01358
24,25,$\theta$,-0.37989968061447144,01362
25,26,$\theta$,-0.36459410190582275,01379
26,27,$\theta$,-0.5917797684669495,01390
27,28,$\theta$,-1.24985933303833,01443
28,29,$\theta$,-0.13133905827999115,01449
29,30,$\theta$,-0.2943078875541687,01456
30,31,$\theta$,-0.8694859743118286,01457
31,32,$\theta$,-0.6305527687072754,01460
32,33,$\theta$,-0.5242249369621277,01510
33,34,$\theta$,-0.949036717414856,01549
34,35,$\theta$,-0.08536496758460999,01559
35,36,$\theta$,-0.2245277762413025,01560
36,37,$\theta$,-0.5330150127410889,01614
37,38,$\theta$,-0.4091024398803711,01619
38,39,$\theta$,-0.6498650908470154,01622
39,40,$\theta$,-0.43119168281555176,01630
40,41,$\theta$,-1.0845965147018433,01646
41,42,$\theta$,-0.7488827705383301,01647
42,43,$\theta$,-0.5273723006248474,01725
43,44,$\theta$,-0.7868152856826782,01840
44,45,$\theta$,-0.4018503427505493,01861
45,1,$\theta$,-0.4983978569507599,00390
46,2,$\theta$,-0.43001487851142883,00513
47,3,$\theta$,0.2717601954936981,01101
48,4,$\theta$,-0.6129579544067383,01102
49,5,$\theta$,-0.009314559400081635,01104
50,6,$\theta$,-0.5164892077445984,01118
51,7,$\theta$,-0.5280359387397766,01129
52,8,$\theta$,-1.3690760135650635,01261
53,9,$\theta$,0.18637919425964355,01268
54,10,$\theta$,-1.1038482189178467,01271
55,11,$\theta$,-0.25906017422676086,01272
56,12,$\theta$,0.030416488647460938,01281
57,13,$\theta$,-0.6275845766067505,01293
58,14,$\theta$,-0.3536042869091034,01323
59,15,$\theta$,-0.3833358883857727,01332
60,16,$\theta$,-0.5734049081802368,01334
61,17,$\theta$,-1.0640027523040771,01335
62,18,$\theta$,0.19455035030841827,01344
63,19,$\theta$,-0.7824040651321411,01351
64,20,$\theta$,-0.6326665878295898,01354
65,21,$\theta$,-0.5863193869590759,01355
66,22,$\theta$,-0.08129611611366272,01356
67,23,$\theta$,-0.28060150146484375,01357
68,24,$\theta$,-0.5697654485702515,01358
69,25,$\theta$,-0.2593095302581787,01362
70,26,$\theta$,-0.26484012603759766,01379
71,27,$\theta$,-0.5813795924186707,01390
72,28,$\theta$,-0.7269144058227539,01443
73,29,$\theta$,-0.08131301403045654,01449
74,30,$\theta$,-0.3360045850276947,01456
75,31,$\theta$,-0.944130539894104,01457
76,32,$\theta$,-0.9777793884277344,01460
77,33,$\theta$,-1.0400863885879517,01510
78,34,$\theta$,-0.5577857494354248,01549
79,35,$\theta$,0.019477233290672302,01559
80,36,$\theta$,-0.06670732796192169,01560
81,37,$\theta$,-0.9129608273506165,01614
82,38,$\theta$,-0.5084333419799805,01619
83,39,$\theta$,-0.4305593967437744,01622
84,40,$\theta$,-0.4817221164703369,01630
85,41,$\theta$,-0.5369150638580322,01646
86,42,$\theta$,-1.4054577350616455,01647
87,43,$\theta$,-0.5320449471473694,01725
88,44,$\theta$,-0.9280378818511963,01840
89,45,$\theta$,-0.2893693447113037,01861
90,1,$\theta$,-1.0550612211227417,00390
91,2,$\theta$,-0.4314613938331604,00513
92,3,$\theta$,0.12093733996152878,01101
93,4,$\theta$,-0.5314030647277832,01102
94,5,$\theta$,-0.15953429043293,01104
95,6,$\theta$,-0.38071101903915405,01118
96,7,$\theta$,-0.564863383769989,01129
97,8,$\theta$,-1.3238205909729004,01261
98,9,$\theta$,-0.11011144518852234,01268
99,10,$\theta$,-1.244445562362671,01271
100,11,$\theta$,0.13543331623077393,01272
101,12,$\theta$,-0.19200125336647034,01281
102,13,$\theta$,-0.35760360956192017,01293
103,14,$\theta$,-0.24189579486846924,01323
104,15,$\theta$,-0.5799212455749512,01332
105,16,$\theta$,-0.5386292934417725,01334
106,17,$\theta$,-0.6501025557518005,01335
107,18,$\theta$,0.034341856837272644,01344
108,19,$\theta$,-0.6679876446723938,01351
109,20,$\theta$,-0.707010805606842,01354
110,21,$\theta$,-0.4032033383846283,01355
111,22,$\theta$,-0.5542753338813782,01356
112,23,$\theta$,-0.6273156404495239,01357
113,24,$\theta$,-0.5414787530899048,01358
114,25,$\theta$,-0.309579074382782,01362
115,26,$\theta$,-0.11594606935977936,01379
116,27,$\theta$,-0.2822335958480835,01390
117,28,$\theta$,-0.5988296866416931,01443
118,29,$\theta$,-0.44048380851745605,01449
119,30,$\theta$,-0.47265058755874634,01456
120,31,$\theta$,-0.7191585898399353,01457
121,32,$\theta$,-1.0927040576934814,01460
