,0
0,11346.82875
1,11262.015
2,11258.605
3,11028.94
4,11030.24625
5,10948.6775
6,10818.185
7,10748.85125
8,10724.03125
9,10660.59125
10,10628.5
11,10578.9825
12,10467.171875
13,10384.469375
14,10412.42625
15,10351.395
16,10205.79625
17,10208.794375
18,10123.716875
19,10175.77875
20,10114.739375
21,9980.4925
22,9941.614375
23,9976.833125
24,9848.34375
25,9815.496875
26,9813.41875
27,9701.459375
28,9745.5325
29,9670.83
30,9630.4725
31,9610.09625
32,9521.688125
33,9527.15625
34,9489.093125
35,9460.90125
36,9410.020625
37,9375.4325
38,9360.96625
39,9305.70375
40,9256.958125
41,9238.588125
42,9181.760625
43,9182.650625
44,9170.5425
45,9160.88375
46,9112.038125
47,9085.03
48,9061.573125
49,9039.5125
50,9026.354375
51,8985.411875
52,8976.88125
53,8957.171875
54,8918.473125
55,8889.20375
56,8885.44625
57,8855.161875
58,8821.6075
59,8783.339375
60,8770.7225
61,8774.8575
62,8754.786875
63,8756.01125
64,8732.735625
65,8682.960625
66,8668.310625
67,8665.395
68,8669.901875
69,8626.3925
70,8603.509375
71,8616.539375
72,8582.728125
73,8576.393125
74,8566.42125
75,8564.484375
76,8519.236875
77,8537.6075
78,8493.72125
79,8487.32625
80,8489.2975
81,8474.568125
82,8455.18
83,8459.55
84,8440.116875
85,8415.23375
86,8397.090625
87,8396.0175
88,8383.716875
89,8365.958125
90,8364.683125
91,8344.69625
92,8335.61
93,8334.365
94,8337.159375
95,8304.968125
96,8313.56375
97,8292.373125
98,8287.6275
99,8288.160625
100,8276.530625
101,8267.5575
102,8237.72
103,8227.800625
104,8238.745
105,8244.450625
106,8225.5175
107,8212.411875
108,8193.96
109,8183.75625
110,8196.21875
111,8186.836875
112,8161.416875
113,8167.16625
114,8160.350625
115,8162.16
116,8154.5725
117,8138.22125
118,8123.5975
119,8128.298125
120,8129.8775
121,8119.805625
122,8104.95
123,8112.865625
124,8102.39625
125,8086.76375
126,8101.445
127,8080.15625
128,8062.02625
129,8073.358125
130,8059.81375
131,8047.835625
132,8048.283125
133,8037.003125
134,8029.8975
135,8035.16125
136,8035.883125
137,8020.665
138,8017.2325
139,8006.066875
140,7993.7225
141,8011.310625
142,7997.534375
143,7996.995625
144,7989.039375
145,7985.328125
146,7976.030625
147,7988.36875
