,0
0,18318.94625
1,18266.6325
2,18135.9525
3,18077.08125
4,17871.00625
5,17647.69375
6,17647.65875
7,17551.63625
8,17425.28875
9,17367.5975
10,17262.8425
11,17141.58375
12,17043.98375
13,16960.3625
14,16832.6025
15,16825.795
16,16635.37375
17,16594.9025
18,16489.4125
19,16425.74625
20,16268.95125
21,16209.3175
22,16140.8075
23,16077.21
24,16043.6475
25,15921.3225
26,15891.90375
27,15839.56625
28,15832.52
29,15718.6325
30,15690.1125
31,15601.26875
32,15482.9125
33,15487.38375
34,15423.3175
35,15335.60625
36,15314.65125
37,15247.82375
38,15163.70625
39,15142.68125
40,15096.48
41,15088.1425
42,15036.36375
43,14979.4325
44,14967.41625
45,14845.2625
46,14839.31
47,14798.8975
48,14733.7925
49,14710.35
50,14685.38125
51,14619.73125
52,14558.0675
53,14536.9975
54,14498.6325
55,14450.325
56,14441.90375
57,14380.525
58,14367.26375
59,14350.3025
60,14301.8975
61,14299.05875
62,14238.04625
63,14235.75375
64,14186.02125
65,14180.09125
66,14146.63375
67,14101.16125
68,14079.35875
69,14070.64875
70,14044.015
71,14022.0525
72,13959.72125
73,13954.8975
74,13943.29125
75,13925.51125
76,13902.69
77,13858.01875
78,13840.63125
79,13780.97
80,13819.09125
81,13775.2
82,13788.00375
83,13746.8575
84,13748.73625
85,13719.56
86,13677.34625
87,13677.96375
88,13653.45875
89,13632.4575
90,13622.115
91,13584.075
92,13584.5
93,13580.03125
94,13547.45375
95,13516.145
96,13506.83
97,13489.165
98,13473.025
99,13476.80875
100,13468.9175
101,13436.45
102,13418.08875
103,13421.00375
104,13391.02
105,13382.24
106,13388.60625
107,13355.42
108,13365.60875
109,13336.055
110,13334.3575
111,13315.945
112,13299.13875
113,13284.32625
114,13277.5625
115,13264.14375
116,13243.59875
117,13281.9275
118,13257.33875
119,13227.20625
120,13225.43125
121,13185.38375
122,13193.365
123,13172.19
124,13193.73375
125,13165.86
126,13164.08625
127,13136.085
128,13145.0675
129,13134.76625
130,13121.0425
131,13121.1975
132,13100.78875
133,13089.2875
134,13081.82
135,13065.23125
136,13055.39375
137,13046.7225
138,13044.915
139,13031.38875
140,13042.97
141,13026.05
142,13024.01125
143,13029.8075
144,12996.76
145,13002.37375
146,12975.54375
147,12969.0025
148,12965.22125
149,12968.70625
150,12947.805
151,12945.75875
152,12932.45125
153,12938.29625
154,12934.41625
155,12932.95625
156,12911.635
157,12900.545
158,12899.5625
159,12901.97
160,12889.2875
161,12890.04875
162,12860.56125
163,12862.3325
164,12861.89875
165,12855.835
166,12842.94125
167,12848.83875
168,12845.77875
169,12831.295
170,12827.09875
171,12805.3825
