,$\tilde{\beta}$,$\theta$,$\tilde{\alpha}$
0,3.8617615699768066,7.34505033493042,1.1894270181655884
1,4.2486090660095215,5.706814289093018,1.133540153503418
2,5.811145782470703,6.310944080352783,1.1553434133529663
3,2.824162483215332,7.242449760437012,0.9188422560691833
4,3.474114179611206,5.394562721252441,1.197309970855713
5,3.3917763233184814,6.089109420776367,1.0072135925292969
6,4.0953569412231445,4.546689033508301,1.3043144941329956
7,3.7680416107177734,6.55042839050293,1.359808325767517
8,3.7418525218963623,5.2551798820495605,1.1047277450561523
9,4.780709266662598,7.836819648742676,1.0360571146011353
10,5.180706024169922,6.287893772125244,1.4150245189666748
11,3.9545652866363525,6.805633544921875,1.3455075025558472
12,4.145631313323975,6.940890789031982,1.50456964969635
13,4.2060723304748535,6.646908283233643,1.5241949558258057
14,4.362877368927002,6.325356960296631,1.3054535388946533
15,4.743166923522949,6.028101444244385,1.4406224489212036
16,4.935598373413086,6.0431599617004395,1.0345178842544556
17,3.3876118659973145,5.085611820220947,1.0944284200668335
18,3.718766212463379,4.497814655303955,1.081855297088623
19,4.281782627105713,7.515491008758545,1.4013464450836182
20,4.43695068359375,5.4146409034729,1.309640645980835
21,3.6525352001190186,9.224898338317871,1.4686170816421509
22,3.17195987701416,5.650298118591309,1.1312764883041382
23,4.017106056213379,5.306848526000977,1.1081287860870361
24,3.9369874000549316,4.993492603302002,0.845506489276886
25,5.007936000823975,5.4719343185424805,1.0527756214141846
26,3.8625199794769287,6.469923496246338,1.0080862045288086
27,4.0240888595581055,6.725967884063721,1.9459761381149292
28,4.110021591186523,4.981072425842285,1.0446337461471558
29,3.804857015609741,8.038806915283203,1.2296251058578491
30,4.761538028717041,6.59442663192749,1.4535945653915405
31,3.838358163833618,6.012923717498779,1.0282318592071533
32,3.8835396766662598,6.401612758636475,0.9773044586181641
33,3.955683946609497,7.654387474060059,1.6030840873718262
34,7.2836833000183105,4.403846263885498,1.074500322341919
35,3.364086151123047,3.9236338138580322,0.8878118395805359
36,3.483353614807129,5.112743377685547,1.357831597328186
37,5.348306655883789,6.708096027374268,1.71615469455719
38,3.5819592475891113,6.418951988220215,1.227995753288269
39,3.806804895401001,6.174917221069336,1.4488260746002197
40,5.170503616333008,4.8226094245910645,0.9985897541046143
41,4.4108805656433105,5.742795467376709,0.9538936614990234
42,5.007105350494385,6.518693447113037,1.1959257125854492
43,4.414211750030518,4.782843589782715,1.1872568130493164
44,3.7848026752471924,6.402925491333008,1.1704111099243164
45,3.562040328979492,5.029923915863037,1.0985263586044312
46,3.844130277633667,5.201230525970459,1.2478123903274536
47,3.820235252380371,5.427570343017578,1.0956292152404785
48,4.67830753326416,6.085781097412109,1.236782431602478
49,3.6767163276672363,7.769169330596924,1.2958625555038452
50,4.385524749755859,4.724223613739014,1.3421653509140015
51,3.662961721420288,7.7790021896362305,1.3949699401855469
52,4.034770488739014,7.2590460777282715,1.0938745737075806
53,2.999743938446045,4.152030944824219,1.656545639038086
54,3.0460591316223145,8.051286697387695,1.0081334114074707
55,4.608974456787109,6.123528957366943,1.3801190853118896
56,3.7308499813079834,4.256855487823486,1.562794804573059
57,3.2369019985198975,5.228060245513916,1.2756245136260986
58,3.3789985179901123,5.971700191497803,0.7208091616630554
59,4.171394348144531,6.634620189666748,1.0605318546295166
60,3.214770555496216,4.705883502960205,1.6711994409561157
61,5.362268447875977,4.916121006011963,1.8455487489700317
62,4.3636555671691895,6.6154046058654785,1.2819583415985107
63,4.361158847808838,5.119505405426025,1.301310420036316
64,3.0935850143432617,6.280505180358887,1.3897913694381714
65,4.190537929534912,5.265052318572998,1.6367247104644775
66,4.224087238311768,6.608227252960205,1.3850106000900269
67,3.7349417209625244,5.786203861236572,1.7932075262069702
68,3.9959232807159424,5.59348726272583,1.0247806310653687
69,4.456643581390381,6.155984401702881,1.1252254247665405
70,3.5143816471099854,6.204902172088623,1.7919412851333618
71,3.438631534576416,4.976644992828369,1.5480315685272217
72,4.752930641174316,7.3221211433410645,1.0719380378723145
73,4.625208854675293,5.2271294593811035,1.8875415325164795
74,3.942873477935791,4.4561309814453125,1.6757534742355347
75,3.516209125518799,5.646296501159668,1.8865771293640137
76,3.5294456481933594,6.398115634918213,1.1328496932983398
77,4.353703498840332,6.411464214324951,1.3013463020324707
78,4.000122547149658,7.796799659729004,1.2145428657531738
79,3.66690993309021,6.292181015014648,1.2160909175872803
80,3.986909866333008,5.727285385131836,1.0385231971740723
81,4.4977850914001465,5.927940368652344,1.6033176183700562
82,4.911701679229736,6.554415225982666,1.497104525566101
83,3.1761314868927,4.711474418640137,1.2588624954223633
84,5.289796829223633,5.228626251220703,1.320810079574585
85,3.7919259071350098,6.038528919219971,1.515777349472046
86,3.9168992042541504,5.830494403839111,1.3952394723892212
87,3.552272081375122,5.2727952003479,0.9312894344329834
88,4.665987491607666,4.932034969329834,1.6444213390350342
89,5.731444835662842,6.665460586547852,1.238105297088623
90,5.691817760467529,4.6642537117004395,1.7986607551574707
91,3.9029386043548584,6.807439804077148,1.0067211389541626
92,4.472817420959473,5.705913066864014,1.5992622375488281
93,4.039015293121338,5.055078506469727,1.3004614114761353
94,3.546288013458252,5.223141670227051,0.981586754322052
95,3.836097478866577,3.4929451942443848,1.501619577407837
96,3.316753387451172,3.622929573059082,1.6545621156692505
97,3.7668728828430176,5.367061614990234,1.7539162635803223
98,3.4331657886505127,4.345806121826172,1.3894656896591187
99,4.663328170776367,5.551730155944824,1.402064323425293
100,4.273098945617676,5.5684943199157715,0.8960800766944885
101,4.784142971038818,5.728503227233887,1.011454463005066
102,4.263156414031982,7.401705265045166,1.2345197200775146
103,4.253509044647217,5.8112969398498535,1.0873801708221436
104,5.323671817779541,7.971900939941406,1.2178823947906494
105,3.370601177215576,4.08595609664917,1.3725178241729736
106,5.0398454666137695,5.273982048034668,1.2563962936401367
107,3.2580602169036865,6.141702651977539,1.066094160079956
108,3.7756848335266113,6.9700093269348145,1.3442357778549194
109,4.659581184387207,5.927791595458984,1.2361520528793335
110,4.775129795074463,5.841614723205566,1.1861869096755981
111,3.605980157852173,8.601852416992188,1.3578981161117554
112,4.367506980895996,7.954547882080078,0.9565670490264893
113,5.671962261199951,5.228858947753906,1.1231743097305298
114,4.764865875244141,7.345742225646973,1.7827682495117188
115,4.265356063842773,4.634963035583496,1.2727973461151123
116,5.327876091003418,5.590561866760254,1.4518687725067139
117,3.7427072525024414,5.7605156898498535,1.338099718093872
118,4.694404125213623,6.9927825927734375,0.755577027797699
119,4.456716060638428,4.65707540512085,1.534420132637024
120,3.9529316425323486,5.870882511138916,0.8368120193481445
121,2.9451026916503906,5.095939636230469,1.1423842906951904
122,3.9422054290771484,6.701513290405273,1.784490704536438
123,4.729877948760986,8.050783157348633,1.5441951751708984
124,2.930982828140259,4.864872932434082,1.1552491188049316
125,3.581709861755371,7.201791763305664,1.4296694993972778
126,4.2587971687316895,8.354669570922852,1.7860498428344727
127,5.022108554840088,5.035609245300293,1.4627059698104858
128,4.1429948806762695,5.6766180992126465,1.1183946132659912
129,3.018970489501953,4.451805591583252,1.3500959873199463
130,3.276502847671509,5.281293869018555,1.1538029909133911
131,4.765350341796875,5.877248764038086,0.9846397042274475
132,3.7733335494995117,5.820763111114502,1.1718093156814575
133,3.7305221557617188,5.0334320068359375,1.3694922924041748
134,4.1043500900268555,4.472164630889893,1.1989610195159912
135,3.387199640274048,4.030376434326172,1.2003406286239624
136,3.3451766967773438,5.4441399574279785,1.0697225332260132
137,3.5245587825775146,4.28922176361084,0.9005187749862671
138,3.5714826583862305,5.145796298980713,1.3803273439407349
139,3.371628761291504,8.426881790161133,1.5529178380966187
140,5.159941673278809,5.844887733459473,1.298539400100708
141,4.978954792022705,5.67345666885376,1.2795183658599854
142,3.580073118209839,5.433254241943359,1.6484309434890747
143,3.898531675338745,7.076114177703857,0.9985372424125671
144,3.5684168338775635,5.333797931671143,0.7971063852310181
145,4.302351474761963,5.904921531677246,1.2506672143936157
146,3.417123556137085,6.239203453063965,1.1803994178771973
147,3.222640037536621,7.77844762802124,1.578019142150879
148,4.161092281341553,5.909967422485352,1.163043737411499
149,4.8476033210754395,5.797739505767822,1.4658753871917725
150,3.8535897731781006,4.9679388999938965,1.1929210424423218
151,3.8631558418273926,7.693667888641357,1.7448865175247192
152,3.4740962982177734,5.340814113616943,1.3695060014724731
153,4.239446640014648,4.162200927734375,1.3749059438705444
154,3.75927996635437,7.784581184387207,1.2872129678726196
155,3.5596024990081787,5.776623725891113,1.5647975206375122
156,4.2613677978515625,5.50344181060791,1.4240920543670654
157,6.010652542114258,6.119503498077393,1.6880496740341187
158,3.0538077354431152,5.338934898376465,1.0302581787109375
159,4.7852020263671875,6.203920841217041,1.3610330820083618
160,4.247452259063721,6.256568431854248,1.44870126247406
161,5.0037922859191895,4.8141188621521,1.527213454246521
162,4.298430919647217,5.2235283851623535,1.150936484336853
163,4.099203109741211,5.45932674407959,1.0052127838134766
164,3.946402072906494,4.079373359680176,1.6572703123092651
165,6.118023872375488,5.924259662628174,1.5669677257537842
166,4.193561553955078,7.211798667907715,1.3344906568527222
167,3.49908709526062,6.438980579376221,1.2153551578521729
168,6.511216640472412,4.411734104156494,1.2933353185653687
169,3.0214297771453857,5.694431781768799,1.2547919750213623
170,5.518466949462891,6.244450092315674,1.319314956665039
171,3.8374335765838623,5.277553081512451,1.1792020797729492
172,4.426658630371094,4.902883529663086,1.66523277759552
173,5.795955181121826,7.974102020263672,1.153685212135315
174,4.67597770690918,7.488282680511475,0.9933462142944336
175,4.433699607849121,5.250126361846924,1.0677951574325562
176,3.307847499847412,4.402238368988037,1.1578056812286377
177,3.6072208881378174,3.679191827774048,1.3446311950683594
178,3.4041483402252197,5.429874897003174,1.1274935007095337
179,4.544994354248047,3.5877950191497803,1.2886910438537598
180,4.719521522521973,5.580454349517822,1.2007447481155396
181,3.8030710220336914,4.552824974060059,1.39963698387146
182,2.704028367996216,5.6445088386535645,1.2709101438522339
183,4.940255641937256,6.616297245025635,1.2304166555404663
184,3.785470962524414,4.299850940704346,1.167212724685669
185,4.088583469390869,5.668325901031494,1.172865629196167
186,4.5867180824279785,6.872427463531494,1.3921881914138794
187,5.401366233825684,6.230875015258789,1.32468843460083
188,4.589142799377441,5.389868259429932,1.4447990655899048
189,3.048358678817749,8.248129844665527,1.2619539499282837
190,3.4686079025268555,5.1487860679626465,1.732572078704834
191,3.503038167953491,5.964243412017822,1.160003900527954
192,4.280879974365234,3.5354673862457275,1.3933314085006714
193,4.602321147918701,4.519715309143066,1.615161657333374
194,3.7249655723571777,8.093927383422852,2.0103657245635986
195,4.501935958862305,4.451003074645996,0.9179218411445618
196,5.308246612548828,6.237360000610352,1.2539136409759521
197,3.405012369155884,5.759705543518066,1.2739611864089966
198,3.072183609008789,4.8366618156433105,1.3996739387512207
199,4.3667755126953125,5.434021949768066,1.4452160596847534
200,3.8516006469726562,5.478699684143066,1.3962129354476929
201,4.525656700134277,8.81479549407959,1.2535476684570312
202,5.231197357177734,4.625033855438232,1.1252989768981934
203,4.145867347717285,7.590749263763428,1.3804036378860474
204,4.405086517333984,6.246747016906738,1.5769582986831665
205,2.713719606399536,5.359972953796387,0.9698184728622437
206,4.3700032234191895,6.781851291656494,1.3144596815109253
207,3.709547758102417,7.484470367431641,1.605936050415039
208,3.671388864517212,6.4767866134643555,1.4481523036956787
209,4.013173580169678,6.6140055656433105,1.3375734090805054
210,3.727114200592041,6.547954082489014,1.453845739364624
211,5.7219719886779785,7.607546329498291,1.5459686517715454
212,2.751004695892334,6.5987114906311035,1.007928490638733
213,3.281007766723633,5.8006110191345215,1.134821891784668
214,3.7537174224853516,4.314606666564941,1.7737934589385986
215,4.568001747131348,5.80870246887207,1.359337329864502
216,4.4541707038879395,4.883631706237793,0.9708006978034973
217,3.283384084701538,5.561298370361328,0.9682011008262634
218,4.313249588012695,4.722916603088379,1.7455934286117554
219,3.009892225265503,4.525331020355225,1.3324511051177979
220,3.44813871383667,7.842365264892578,2.034952402114868
221,4.0177998542785645,7.7815937995910645,1.181532621383667
