,0
0,11485.1075
1,11537.84125
2,11390.64625
3,11311.5975
4,11215.265
5,11185.94875
6,11145.32125
7,11091.96875
8,11019.665
9,10864.4825
10,10951.43875
11,10827.50125
12,10798.01625
13,10707.15125
14,10690.62875
15,10654.08375
16,10556.9125
17,10543.14125
18,10384.30125
19,10402.39375
20,10379.59375
21,10351.570625
22,10292.646875
23,10254.368125
24,10263.156875
25,10147.53375
26,10111.98875
27,10072.38375
28,10080.273125
29,10042.916875
30,9961.071875
31,9986.555625
32,9885.970625
33,9915.908125
34,9863.261875
35,9812.655
36,9831.874375
37,9774.25
38,9747.14375
39,9724.40625
40,9653.10125
41,9648.170625
42,9615.5225
43,9638.693125
44,9547.104375
45,9572.398125
46,9546.753125
47,9516.6575
48,9506.841875
49,9457.968125
50,9467.440625
51,9439.370625
52,9419.09125
53,9427.489375
54,9385.85
55,9391.659375
56,9370.711875
57,9336.578125
58,9323.209375
59,9299.306875
60,9281.405625
61,9304.72875
62,9261.775
63,9250.554375
64,9231.3125
65,9246.92375
66,9216.519375
67,9190.0325
68,9170.6075
69,9143.41875
70,9164.191875
71,9155.22625
72,9128.125
73,9107.574375
74,9106.7275
75,9093.381875
76,9084.2025
77,9077.48125
78,9058.805
79,9050.883125
80,9042.6325
81,9023.5375
82,9039.28625
83,9005.71625
84,9004.60875
85,8983.686875
86,8987.751875
87,8981.0975
88,8958.885
89,8948.201875
90,8963.61125
91,8959.890625
92,8920.945
93,8933.81375
94,8918.510625
95,8905.760625
96,8900.885625
97,8900.04
98,8894.035625
99,8873.685625
100,8864.03875
101,8867.594375
102,8869.693125
103,8849.376875
104,8855.9225
105,8842.051875
106,8840.92875
107,8825.313125
108,8836.269375
109,8819.800625
110,8817.453125
111,8807.40125
112,8799.87375
113,8816.98
114,8798.48
115,8792.865
116,8773.205625
117,8781.980625
118,8773.685
119,8778.029375
120,8771.431875
121,8748.7775
122,8747.823125
123,8743.11625
124,8734.62625
125,8734.469375
126,8732.259375
127,8728.484375
128,8726.803125
129,8735.918125
130,8711.65875
131,8703.9525
132,8711.005625
133,8719.380625
134,8698.866875
135,8706.405
136,8694.75125
137,8696.826875
138,8667.04375
139,8677.09375
140,8678.65125
141,8684.854375
142,8653.94375
143,8660.6825
144,8653.03125
145,8659.370625
146,8662.009375
147,8640.806875
148,8647.19375
149,8654.818125
150,8648.09625
151,8645.481875
152,8643.00125
153,8626.71625
154,8631.71
155,8620.33
156,8628.81125
157,8617.788125
158,8617.13
159,8607.254375
160,8610.668125
161,8599.3025
162,8606.861875
163,8600.091875
164,8597.05625
165,8596.694375
166,8591.96875
167,8592.58375
168,8591.0825
169,8583.939375
170,8578.563125
171,8577.423125
172,8577.04375
173,8581.9225
174,8583.061875
175,8566.493125
176,8570.180625
177,8563.121875
178,8559.973125
179,8563.84375
180,8556.550625
181,8556.689375
182,8555.130625
183,8556.3375
184,8552.91375
185,8543.0225
186,8543.78
187,8546.395625
188,8538.35625
189,8542.30125
190,8538.578125
191,8543.82
192,8530.1275
193,8532.70625
194,8525.964375
195,8522.735
196,8531.80875
197,8519.290625
198,8518.709375
199,8524.024375
200,8514.91625
201,8509.62375
202,8508.696875
203,8514.145
204,8512.56375
205,8502.46
206,8500.52375
207,8505.305
208,8498.52625
209,8500.450625
210,8498.785
211,8502.439375
212,8505.24375
213,8492.79
214,8490.176875
215,8482.16
216,8491.85625
217,8491.388125
218,8483.29375
219,8482.628125
220,8483.778125
221,8478.96125
222,8481.235
223,8480.464375
224,8475.1625
225,8468.98375
226,8473.518125
227,8465.693125
228,8477.614375
229,8476.103125
230,8467.04875
231,8468.093125
232,8469.815
233,8467.633125
234,8459.271875
235,8468.0675
236,8466.915625
237,8455.679375
238,8450.4475
239,8452.601875
240,8451.339375
241,8451.279375
242,8454.229375
243,8447.845
244,8446.88
245,8446.855625
246,8449.8475
247,8445.424375
248,8443.695
249,8444.463125
250,8437.14875
251,8440.861875
252,8441.9075
253,8433.46
254,8439.290625
255,8433.581875
256,8434.96875
257,8430.895
258,8436.81375
259,8433.7175
260,8432.43125
261,8423.926875
262,8433.183125
263,8428.908125
264,8427.654375
265,8420.780625
266,8422.320625
267,8416.8775
268,8425.0575
269,8416.559375
270,8416.3925
271,8412.80375
272,8420.065
273,8417.10625
274,8415.88375
275,8410.60125
276,8412.20875
277,8413.208125
278,8410.49875
279,8406.303125
280,8401.12375
281,8409.8025
282,8408.209375
283,8406.6425
284,8404.9
285,8408.6675
286,8403.361875
287,8398.083125
288,8403.833125
289,8398.716875
290,8401.05125
291,8398.62625
292,8398.985
293,8398.18125
294,8393.115
295,8396.59
296,8392.910625
297,8394.656875
298,8395.2875
299,8394.1125
300,8391.9375
301,8390.0575
302,8388.584375
303,8381.584375
304,8391.4725
305,8387.47875
306,8388.98375
307,8383.713125
308,8385.385625
309,8382.810625
310,8385.2525
311,8387.003125
312,8383.99
313,8385.98375
314,8381.22125
315,8381.946875
316,8379.72625
317,8372.033125
318,8377.045625
319,8376.414375
320,8375.644375
321,8375.876875
322,8377.895625
323,8378.585
324,8372.915625
325,8373.57625
326,8371.201875
327,8374.613125
328,8372.095625
329,8368.106875
330,8368.525625
331,8369.5225
332,8369.32875
333,8368.604375
334,8371.8675
335,8361.045
336,8364.60625
337,8364.158125
338,8364.971875
339,8362.248125
340,8359.546875
341,8362.1725
342,8359.625625
343,8362.861875
344,8358.1875
345,8356.62625
346,8354.618125
347,8359.398125
348,8359.749375
349,8360.048125
350,8357.429375
351,8358.564375
352,8361.696875
353,8355.680625
354,8354.159375
355,8354.5725
356,8354.075
357,8348.723125
358,8354.84
359,8351.006875
360,8346.930625
361,8347.63875
362,8347.01125
363,8348.720625
364,8350.35375
365,8347.515625
366,8351.17875
367,8347.520625
368,8345.388125
369,8347.89875
370,8346.01125
371,8347.880625
372,8345.430625
373,8345.82875
374,8340.484375
375,8346.47125
376,8342.893125
377,8342.985
378,8343.45
379,8343.916875
380,8339.883125
381,8340.588125
382,8339.348125
383,8341.695
384,8338.400625
385,8339.693125
386,8339.7575
387,8336.59875
388,8337.3425
389,8335.86375
390,8338.675625
391,8336.630625
392,8333.255625
393,8333.939375
394,8337.789375
395,8335.4225
396,8335.1275
397,8332.483125
398,8334.395625
399,8332.88375
400,8332.29625
401,8327.835
402,8331.03375
403,8331.061875
404,8334.169375
405,8330.63
406,8331.775625
407,8327.91375
408,8330.73375
409,8327.68375
410,8327.085
411,8328.499375
412,8328.481875
413,8328.539375
414,8328.276875
415,8327.835625
416,8325.206875
417,8328.125
418,8327.26625
419,8324.423125
420,8325.59375
421,8327.3
422,8322.82125
423,8324.83125
424,8324.8825
425,8322.990625
426,8322.8175
427,8322.725625
428,8321.79
429,8322.94125
430,8323.380625
431,8320.06875
432,8321.929375
433,8321.35
434,8320.2
435,8319.476875
436,8320.803125
437,8322.888125
438,8318.426875
439,8314.334375
440,8320.6175
441,8317.09
442,8321.400625
443,8319.20625
444,8318.12125
445,8315.65125
446,8315.639375
447,8314.12625
448,8316.33875
449,8317.131875
450,8315.67
451,8313.764375
452,8316.88625
453,8315.25125
454,8312.254375
455,8315.5175
456,8313.296875
457,8313.93
458,8314.005
459,8311.704375
460,8311.87125
461,8310.068125
462,8311.54
463,8309.75125
464,8311.686875
465,8312.87375
466,8309.0325
467,8309.16375
468,8311.19
469,8310.565
470,8311.100625
471,8311.619375
472,8309.04125
473,8307.889375
474,8308.6525
475,8310.346875
476,8306.78
477,8308.42
478,8306.420625
479,8306.249375
480,8308.4875
481,8305.7275
482,8308.595
483,8307.724375
484,8305.57875
485,8306.033125
486,8302.91625
487,8304.061875
488,8304.91375
489,8305.251875
490,8304.6975
491,8304.0625
492,8303.995
493,8302.59625
494,8303.888125
495,8306.020625
496,8302.26625
497,8303.265
498,8303.098125
499,8302.30875
500,8301.94125
501,8301.288125
502,8302.216875
503,8303.1525
504,8300.885625
505,8298.608125
506,8301.290625
507,8301.38
508,8300.426875
509,8299.82875
510,8300.168125
511,8300.66125
512,8299.228125
513,8300.173125
514,8297.979375
515,8298.791875
516,8297.724375
517,8301.483125
518,8298.748125
519,8297.385
520,8297.54375
521,8298.923125
522,8296.119375
523,8297.330625
524,8298.87125
525,8298.4475
526,8297.04125
527,8296.185625
528,8296.41
529,8296.561875
530,8297.103125
531,8295.744375
532,8297.021875
533,8294.72625
534,8295.97
535,8294.385625
536,8296.25375
537,8296.44875
538,8295.374375
539,8293.603125
540,8294.2775
541,8294.2575
542,8295.969375
543,8295.21125
544,8293.69625
545,8291.623125
546,8293.4975
547,8292.59125
548,8292.383125
549,8293.8375
550,8291.52
551,8293.293125
552,8292.433125
553,8292.083125
554,8291.770625
555,8292.941875
556,8291.741875
557,8291.089375
558,8291.87
559,8292.465
560,8290.840625
561,8291.324375
562,8291.3125
563,8291.65125
564,8290.2225
565,8291.435
566,8291.22875
567,8291.29
568,8290.2225
569,8289.13625
570,8292.0275
571,8289.13
572,8286.890625
573,8291.045625
574,8288.4825
575,8289.08375
576,8289.171875
577,8289.77125
578,8288.31
579,8288.298125
580,8286.90875
581,8287.4125
582,8287.3475
583,8287.525
584,8288.064375
585,8287.129375
586,8288.175
587,8287.291875
588,8285.195625
589,8286.10875
590,8287.38625
591,8285.678125
592,8285.93125
593,8285.7525
594,8287.005
595,8286.03125
596,8285.169375
597,8286.84125
598,8286.045
599,8284.193125
600,8285.315625
601,8285.588125
602,8286.44375
603,8285.478125
604,8284.7
605,8283.608125
606,8285.0875
607,8284.47625
608,8283.618125
609,8283.575
610,8285.23625
611,8283.253125
612,8284.39125
613,8283.0425
614,8284.33375
615,8284.53375
616,8283.51
617,8282.736875
618,8284.3775
619,8281.573125
620,8284.12125
621,8283.226875
622,8282.1175
623,8282.861875
624,8282.528125
625,8281.87375
626,8282.18125
627,8281.998125
628,8281.513125
629,8282.1375
630,8280.376875
631,8281.10875
632,8282.79625
633,8282.483125
634,8281.46625
635,8282.906875
636,8281.59125
637,8281.28875
638,8281.1575
639,8281.3875
640,8281.6025
641,8280.63125
642,8282.204375
643,8280.60875
644,8279.6675
645,8281.779375
646,8280.78
647,8279.75625
648,8281.169375
649,8281.079375
650,8281.016875
651,8280.535
652,8280.173125
653,8279.0775
654,8278.423125
655,8279.558125
656,8278.196875
657,8278.47875
658,8280.3525
659,8279.960625
660,8278.110625
661,8278.025625
662,8280.109375
663,8280.194375
664,8279.3325
665,8279.194375
666,8278.428125
667,8278.493125
668,8276.80125
669,8278.913125
670,8278.97125
671,8278.735625
672,8277.361875
673,8277.478125
674,8277.3125
675,8277.418125
676,8277.490625
677,8276.505625
678,8277.7975
679,8276.579375
680,8277.950625
681,8277.473125
682,8278.004375
683,8276.07
684,8277.14
685,8276.58375
686,8277.15625
687,8277.1025
688,8277.253125
689,8276.9775
690,8276.536875
691,8276.60875
692,8275.339375
693,8276.8625
694,8276.036875
695,8276.12375
696,8275.10875
697,8276.48625
698,8276.25875
699,8276.26
700,8275.631875
701,8275.11375
702,8275.54375
703,8276.020625
704,8276.235
705,8275.1175
706,8274.83625
707,8275.51625
708,8275.40875
709,8275.7225
710,8274.814375
711,8275.46125
712,8275.93875
713,8275.151875
714,8275.280625
715,8274.258125
716,8275.2
717,8275.555625
718,8274.531875
719,8274.19375
720,8274.8475
721,8273.581875
722,8274.170625
723,8274.03625
724,8274.08375
725,8274.493125
726,8273.98625
727,8273.645
728,8274.10125
729,8274.7125
730,8273.986875
731,8274.545
732,8273.59375
733,8274.443125
734,8273.661875
735,8273.935625
736,8274.130625
737,8271.874375
738,8273.519375
739,8273.320625
740,8272.378125
741,8273.40625
742,8272.946875
743,8273.115625
744,8272.625
745,8272.38625
746,8273.090625
747,8272.543125
748,8273.184375
749,8273.161875
750,8273.545625
751,8272.29
752,8273.785
753,8272.8775
754,8272.450625
755,8272.39125
756,8273.01125
757,8271.544375
758,8272.55125
759,8271.13875
760,8270.955625
761,8271.96625
762,8271.195
763,8271.32875
764,8272.060625
765,8271.434375
766,8271.5575
767,8272.05
768,8270.618125
769,8271.21875
770,8271.45375
771,8270.67375
772,8271.15625
773,8271.519375
774,8271.429375
775,8271.644375
776,8271.526875
777,8271.38625
778,8271.47875
779,8270.625
780,8270.79375
781,8270.935625
782,8270.318125
783,8271.119375
784,8271.10125
785,8271.059375
786,8270.428125
787,8271.174375
788,8271.319375
789,8270.900625
790,8270.585625
791,8270.725625
792,8270.256875
793,8270.1525
794,8270.318125
795,8271.930625
796,8270.096875
797,8270.285625
798,8270.79875
799,8270.828125
800,8270.52375
801,8270.469375
802,8269.834375
803,8270.475625
804,8270.323125
805,8270.61625
806,8270.050625
807,8269.56625
808,8269.691875
809,8269.001875
810,8268.66875
811,8270.285625
812,8269.80375
813,8268.98625
814,8269.473125
815,8269.974375
816,8269.260625
817,8270.171875
818,8269.24375
819,8269.721875
820,8269.065625
821,8269.129375
822,8269.4225
823,8269.44
824,8267.799375
825,8268.803125
826,8268.0775
827,8268.69375
828,8269.998125
829,8268.570625
830,8268.701875
831,8269.115625
832,8269.048125
833,8268.874375
834,8269.058125
835,8268.910625
836,8268.014375
837,8269.011875
838,8267.93625
839,8268.198125
840,8268.016875
841,8267.784375
842,8268.396875
843,8268.584375
844,8267.73625
845,8267.76
846,8268.5975
847,8268.921875
848,8268.476875
849,8268.208125
850,8268.5575
