,0
0,18568.0025
1,18573.25625
2,18375.40875
3,18214.7
4,18205.0075
5,18043.11625
6,17976.7675
7,17735.72375
8,17726.69
9,17626.62875
10,17548.37
11,17354.32125
12,17364.43
13,17326.15625
14,17154.82875
15,17072.8975
16,16935.90375
17,16879.03625
18,16870.24125
19,16757.53125
20,16715.20125
21,16610.69875
22,16584.9025
23,16482.19875
24,16402.11375
25,16329.05125
26,16300.02875
27,16282.94
28,16203.6125
29,16105.18
30,16057.345
31,16063.7325
32,16013.3125
33,15992.02
34,15877.2625
35,15860.88625
36,15771.55
37,15793.09625
38,15706.21125
39,15605.685
40,15619.40375
41,15607.93375
42,15546.4475
43,15484.14625
44,15466.86625
45,15470.89125
46,15378.91
47,15321.0275
48,15283.41625
49,15303.735
50,15247.47875
51,15198.53625
52,15177.55375
53,15148.0725
54,15098.10375
55,15094.01875
56,15112.71375
57,15059.94125
58,15030.605
59,15004.4125
60,14989.405
61,14966.52375
62,14906.01625
63,14905.94625
64,14873.29
65,14817.55375
66,14833.93875
67,14800.56625
68,14797.37625
69,14744.7075
70,14749.24375
71,14732.91
72,14732.10625
73,14669.35375
74,14673.51625
75,14652.43125
76,14651.66875
77,14608.68875
78,14619.95
79,14607.15
80,14542.79875
81,14557.6175
82,14590.4525
83,14522.95375
84,14491.24625
85,14466.005
86,14467.57875
87,14473.8225
88,14439.5875
89,14427.78
90,14425.325
91,14374.69
92,14388.70875
93,14382.37
94,14339.46375
95,14368.90875
96,14322.4375
97,14359.6925
98,14301.5925
99,14312.95875
100,14307.00875
101,14290.52875
102,14279.69625
103,14279.81625
104,14274.58375
105,14265.76875
106,14229.465
107,14226.595
108,14202.75375
109,14222.45125
110,14180.38125
111,14201.8175
112,14172.78
113,14169.0375
114,14158.6825
115,14154.005
116,14137.21125
117,14160.19875
118,14138.3325
119,14134.3375
120,14119.45625
121,14101.21125
122,14097.325
123,14098.21
124,14078.00625
125,14058.665
126,14090.50125
127,14069.03625
128,14059.65625
129,14044.38875
130,14031.4675
131,14030.53375
132,14034.2925
133,14027.61125
134,14018.6525
135,14014.12125
136,13995.07375
137,13987.83375
138,14003.6425
139,13975.34
