,subject,parameter,value,ID
0,1,$\theta$,-0.44672417640686035,00381
1,2,$\theta$,-0.26937630772590637,00688
2,3,$\theta$,-0.007206574082374573,00785
3,4,$\theta$,0.5867877006530762,01145
4,5,$\theta$,-0.4773181080818176,01494
5,6,$\theta$,-0.2319621592760086,01495
6,7,$\theta$,-0.30942752957344055,01498
7,8,$\theta$,-0.4957594871520996,01555
8,9,$\theta$,-0.09989562630653381,01563
9,10,$\theta$,-0.7540662288665771,01662
10,11,$\theta$,-0.28363874554634094,01665
11,12,$\theta$,-0.0515044629573822,01679
12,13,$\theta$,-0.13363155722618103,01726
13,14,$\theta$,-0.5799064040184021,01743
14,15,$\theta$,-0.530219554901123,01754
15,16,$\theta$,-0.4518866539001465,01809
16,17,$\theta$,0.26207053661346436,01962
17,18,$\theta$,-0.2912557125091553,02313
18,19,$\theta$,-0.5213620066642761,02359
19,20,$\theta$,-0.27135536074638367,02362
20,21,$\theta$,-0.2817182242870331,02389
21,22,$\theta$,-0.2896459698677063,02402
22,23,$\theta$,0.007645666599273682,02409
23,24,$\theta$,-0.02167380601167679,02429
24,25,$\theta$,-0.7354822158813477,02509
25,26,$\theta$,-0.48597657680511475,02589
26,27,$\theta$,-0.09145814180374146,02751
27,28,$\theta$,0.7181852459907532,02766
28,29,$\theta$,0.5358558893203735,02783
29,30,$\theta$,-0.2378995716571808,02816
30,31,$\theta$,-0.31389594078063965,02828
31,32,$\theta$,-0.2451189011335373,02843
32,33,$\theta$,-0.015328899025917053,02878
33,34,$\theta$,-0.5272824168205261,02998
34,35,$\theta$,-0.008799046277999878,03041
35,36,$\theta$,0.11012959480285645,03109
36,37,$\theta$,-0.45132961869239807,03385
37,38,$\theta$,-0.42605191469192505,10647
38,39,$\theta$,-0.15030346810817719,11560
39,40,$\theta$,-0.16876816749572754,11788
40,41,$\theta$,-0.2617052495479584,11924
41,42,$\theta$,0.041050657629966736,12322
42,43,$\theta$,-0.06521699577569962,12348
43,44,$\theta$,0.12466172873973846,12796
44,45,$\theta$,0.09203576296567917,12878
45,1,$\theta$,-0.5454424619674683,00381
46,2,$\theta$,-0.5437130928039551,00688
47,3,$\theta$,-0.07556010037660599,00785
48,4,$\theta$,0.34137141704559326,01145
49,5,$\theta$,-0.45100313425064087,01494
50,6,$\theta$,-0.1798219382762909,01495
51,7,$\theta$,-0.26997292041778564,01498
52,8,$\theta$,-0.5753651261329651,01555
53,9,$\theta$,-0.018893346190452576,01563
54,10,$\theta$,-0.6144179701805115,01662
55,11,$\theta$,-0.047729115933179855,01665
56,12,$\theta$,-0.3556261956691742,01679
57,13,$\theta$,0.08352161198854446,01726
58,14,$\theta$,-0.10081186890602112,01743
59,15,$\theta$,-0.9295731782913208,01754
60,16,$\theta$,-0.7591617107391357,01809
61,17,$\theta$,0.0870649591088295,01962
62,18,$\theta$,0.12161067128181458,02313
63,19,$\theta$,-0.5282681584358215,02359
64,20,$\theta$,-0.3722095489501953,02362
65,21,$\theta$,-0.3788568377494812,02389
66,22,$\theta$,-0.5144790410995483,02402
67,23,$\theta$,-0.25966066122055054,02409
68,24,$\theta$,0.013160580769181252,02429
69,25,$\theta$,-0.48135116696357727,02509
70,26,$\theta$,-0.5113192796707153,02589
71,27,$\theta$,-0.18053901195526123,02751
72,28,$\theta$,0.59697026014328,02766
73,29,$\theta$,0.6200766563415527,02783
74,30,$\theta$,-0.21361461281776428,02816
75,31,$\theta$,-0.2633836567401886,02828
76,32,$\theta$,-0.17806550860404968,02843
77,33,$\theta$,-0.3553166389465332,02878
78,34,$\theta$,-0.5850087404251099,02998
79,35,$\theta$,0.26295846700668335,03041
80,36,$\theta$,0.15790387988090515,03109
81,37,$\theta$,-0.5549750328063965,03385
82,38,$\theta$,-0.45466697216033936,10647
83,39,$\theta$,0.06777894496917725,11560
84,40,$\theta$,0.04751371592283249,11788
85,41,$\theta$,-0.01504497230052948,11924
86,42,$\theta$,-0.05251746624708176,12322
87,43,$\theta$,-0.46808505058288574,12348
88,44,$\theta$,0.16094040870666504,12796
89,45,$\theta$,0.13848507404327393,12878
90,1,$\theta$,-0.4513302445411682,00381
91,2,$\theta$,-0.18674005568027496,00688
92,3,$\theta$,0.06845448911190033,00785
93,4,$\theta$,0.3079516291618347,01145
94,5,$\theta$,-0.6781814694404602,01494
95,6,$\theta$,-0.47881391644477844,01495
96,7,$\theta$,-0.3418869376182556,01498
97,8,$\theta$,-0.5942928791046143,01555
98,9,$\theta$,-0.011081203818321228,01563
99,10,$\theta$,-0.9301214814186096,01662
100,11,$\theta$,0.23506282269954681,01665
101,12,$\theta$,-0.3821469247341156,01679
102,13,$\theta$,0.01516866683959961,01726
103,14,$\theta$,-0.24084141850471497,01743
104,15,$\theta$,-0.7626891136169434,01754
105,16,$\theta$,-0.43888741731643677,01809
106,17,$\theta$,-0.08713272958993912,01962
107,18,$\theta$,-0.08899950981140137,02313
108,19,$\theta$,-0.5455644726753235,02359
109,20,$\theta$,-0.6399394273757935,02362
110,21,$\theta$,-0.05770304799079895,02389
111,22,$\theta$,-0.4900341331958771,02402
112,23,$\theta$,-0.16726131737232208,02409
113,24,$\theta$,0.28095853328704834,02429
114,25,$\theta$,-0.5494408011436462,02509
115,26,$\theta$,-0.3571823239326477,02589
116,27,$\theta$,-0.24543748795986176,02751
117,28,$\theta$,0.6206958889961243,02766
118,29,$\theta$,0.29393574595451355,02783
119,30,$\theta$,0.02290450781583786,02816
120,31,$\theta$,-0.16882990300655365,02828
