,subject,parameter,value,ID
0,1,$\theta$,-0.21769018471240997,00792
1,2,$\theta$,-0.5580933690071106,00882
2,3,$\theta$,-0.26272398233413696,01291
3,4,$\theta$,-0.39638030529022217,01366
4,5,$\theta$,-0.350535124540329,01469
5,6,$\theta$,-0.629715085029602,01482
6,7,$\theta$,-0.45011234283447266,01526
7,8,$\theta$,-0.7195226550102234,01664
8,9,$\theta$,-0.35021644830703735,01758
9,10,$\theta$,-0.5376999974250793,01805
10,11,$\theta$,0.303205668926239,01807
11,12,$\theta$,-0.639499306678772,01841
12,13,$\theta$,-0.2026720941066742,01876
13,14,$\theta$,0.025242328643798828,01878
14,15,$\theta$,-0.5048947930335999,02137
15,16,$\theta$,-0.36505717039108276,02366
16,17,$\theta$,-0.01894162967801094,02427
17,18,$\theta$,-0.5020032525062561,02559
18,19,$\theta$,-0.3853074014186859,02571
19,20,$\theta$,-0.03620653226971626,02625
20,21,$\theta$,-0.11771860718727112,02628
21,22,$\theta$,-0.11298477649688721,02629
22,23,$\theta$,0.3613321781158447,02654
23,24,$\theta$,0.06272345036268234,02656
24,25,$\theta$,-0.26495081186294556,02684
25,26,$\theta$,-0.13135632872581482,02719
26,27,$\theta$,-0.8125925660133362,02747
27,28,$\theta$,-0.6938683986663818,02750
28,29,$\theta$,0.1284407675266266,02796
29,30,$\theta$,0.04193758964538574,02797
30,31,$\theta$,-0.4725532531738281,02820
31,32,$\theta$,-0.3726584315299988,02916
32,33,$\theta$,-0.2673413157463074,02935
33,34,$\theta$,-0.4873749613761902,02948
34,35,$\theta$,-1.0619163513183594,02965
35,36,$\theta$,-0.7732851505279541,03016
36,37,$\theta$,0.11476153135299683,03028
37,38,$\theta$,-0.6377176642417908,03029
38,39,$\theta$,0.3366488516330719,03092
39,40,$\theta$,-0.32710474729537964,03257
40,41,$\theta$,-0.5794949531555176,03262
41,42,$\theta$,-0.14081615209579468,03362
42,43,$\theta$,-0.49476075172424316,03379
43,44,$\theta$,0.4346467852592468,03435
44,45,$\theta$,-0.11021369695663452,12647
45,1,$\theta$,-0.657258927822113,00792
46,2,$\theta$,-0.5003623962402344,00882
47,3,$\theta$,-0.26295575499534607,01291
48,4,$\theta$,-0.05786532163619995,01366
49,5,$\theta$,-0.5961498022079468,01469
50,6,$\theta$,-0.8419696092605591,01482
51,7,$\theta$,-0.7791476249694824,01526
52,8,$\theta$,-0.3330383002758026,01664
53,9,$\theta$,-0.38268256187438965,01758
54,10,$\theta$,-0.28911274671554565,01805
55,11,$\theta$,0.3188062012195587,01807
56,12,$\theta$,-0.6516758799552917,01841
57,13,$\theta$,-0.2131885588169098,01876
58,14,$\theta$,-0.028523311018943787,01878
59,15,$\theta$,-0.19724683463573456,02137
60,16,$\theta$,-0.5708633065223694,02366
61,17,$\theta$,0.0344376415014267,02427
62,18,$\theta$,-0.6817561388015747,02559
63,19,$\theta$,-0.4500521123409271,02571
64,20,$\theta$,-0.1611747294664383,02625
65,21,$\theta$,0.10896716266870499,02628
66,22,$\theta$,0.05143645033240318,02629
67,23,$\theta$,0.13015121221542358,02654
68,24,$\theta$,-0.10756893455982208,02656
69,25,$\theta$,-0.07451900839805603,02684
70,26,$\theta$,-0.22351393103599548,02719
71,27,$\theta$,-0.7648440003395081,02747
72,28,$\theta$,-0.41179850697517395,02750
73,29,$\theta$,-0.0103931725025177,02796
74,30,$\theta$,-0.1615431308746338,02797
75,31,$\theta$,-0.22968891263008118,02820
76,32,$\theta$,-0.4611661434173584,02916
77,33,$\theta$,-0.4283888041973114,02935
78,34,$\theta$,-0.04627625644207001,02948
79,35,$\theta$,-0.6073952317237854,02965
80,36,$\theta$,-0.35012322664260864,03016
81,37,$\theta$,-0.2783276438713074,03028
82,38,$\theta$,-0.3254900872707367,03029
83,39,$\theta$,-0.026986565440893173,03092
84,40,$\theta$,0.15279310941696167,03257
85,41,$\theta$,-0.192218616604805,03262
86,42,$\theta$,0.06040136516094208,03362
87,43,$\theta$,-0.2447206825017929,03379
88,44,$\theta$,0.6537896394729614,03435
89,45,$\theta$,-0.34227776527404785,12647
90,1,$\theta$,-0.5110706686973572,00792
91,2,$\theta$,-0.6347776055335999,00882
92,3,$\theta$,-0.1541379988193512,01291
93,4,$\theta$,-0.5150837302207947,01366
94,5,$\theta$,-0.3493298590183258,01469
95,6,$\theta$,-0.845770001411438,01482
96,7,$\theta$,-0.27875393629074097,01526
97,8,$\theta$,-0.52370285987854,01664
98,9,$\theta$,-0.22350862622261047,01758
99,10,$\theta$,-0.37831148505210876,01805
100,11,$\theta$,0.3941118121147156,01807
101,12,$\theta$,-0.7055686116218567,01841
102,13,$\theta$,-0.3014737665653229,01876
103,14,$\theta$,-0.16830600798130035,01878
104,15,$\theta$,-0.0727698802947998,02137
105,16,$\theta$,-0.12862816452980042,02366
106,17,$\theta$,-0.0917944386601448,02427
107,18,$\theta$,-0.42469194531440735,02559
108,19,$\theta$,-0.324587881565094,02571
109,20,$\theta$,0.17917434871196747,02625
110,21,$\theta$,0.0690947026014328,02628
111,22,$\theta$,-0.3005950450897217,02629
112,23,$\theta$,0.3891622722148895,02654
113,24,$\theta$,-0.16820687055587769,02656
114,25,$\theta$,-0.6309230327606201,02684
115,26,$\theta$,-0.09296005964279175,02719
116,27,$\theta$,-0.8419708013534546,02747
117,28,$\theta$,-0.3791535496711731,02750
118,29,$\theta$,0.14545343816280365,02796
119,30,$\theta$,-0.1293509155511856,02797
120,31,$\theta$,-0.4132465124130249,02820
121,32,$\theta$,-0.14123956859111786,02916
122,33,$\theta$,-0.173945814371109,02935
123,34,$\theta$,-0.051298417150974274,02948
124,35,$\theta$,-1.1272386312484741,02965
125,36,$\theta$,-0.8393518328666687,03016
126,37,$\theta$,0.016124330461025238,03028
127,38,$\theta$,-0.18132349848747253,03029
128,39,$\theta$,-0.09780148416757584,03092
129,40,$\theta$,-0.03160446882247925,03257
130,41,$\theta$,-0.5008686184883118,03262
131,42,$\theta$,-0.33492255210876465,03362
132,43,$\theta$,-0.4283222556114197,03379
133,44,$\theta$,0.414731502532959,03435
134,45,$\theta$,-0.14246797561645508,12647
135,1,$\theta$,-0.339274525642395,00792
136,2,$\theta$,-0.5213049650192261,00882
137,3,$\theta$,-0.05024062097072601,01291
138,4,$\theta$,-0.4997989535331726,01366
139,5,$\theta$,-0.385857492685318,01469
140,6,$\theta$,-0.7929021716117859,01482
141,7,$\theta$,-0.21604126691818237,01526
142,8,$\theta$,-0.6602453589439392,01664
143,9,$\theta$,-0.36074796319007874,01758
144,10,$\theta$,-0.3867213726043701,01805
145,11,$\theta$,0.3995811939239502,01807
146,12,$\theta$,-0.9514281749725342,01841
147,13,$\theta$,-0.10839307308197021,01876
148,14,$\theta$,-0.5173584222793579,01878
149,15,$\theta$,-0.19640754163265228,02137
150,16,$\theta$,-0.6795870661735535,02366
151,17,$\theta$,0.15649449825286865,02427
152,18,$\theta$,-0.331895112991333,02559
153,19,$\theta$,-0.39232102036476135,02571
154,20,$\theta$,-0.11703068763017654,02625
155,21,$\theta$,-0.0603603832423687,02628
156,22,$\theta$,0.1086757481098175,02629
157,23,$\theta$,0.1967368870973587,02654
158,24,$\theta$,0.17210879921913147,02656
159,25,$\theta$,-0.6024808287620544,02684
160,26,$\theta$,-0.004569977521896362,02719
161,27,$\theta$,-0.9565320611000061,02747
162,28,$\theta$,-0.47708067297935486,02750
163,29,$\theta$,-0.24300217628479004,02796
164,30,$\theta$,0.15606701374053955,02797
165,31,$\theta$,0.07386404275894165,02820
166,32,$\theta$,-0.28747332096099854,02916
167,33,$\theta$,-0.15921473503112793,02935
168,34,$\theta$,0.07725775241851807,02948
169,35,$\theta$,-0.8264147639274597,02965
170,36,$\theta$,-0.6468328833580017,03016
171,37,$\theta$,-0.08821476250886917,03028
172,38,$\theta$,-0.0867496132850647,03029
173,39,$\theta$,-0.13305208086967468,03092
174,40,$\theta$,-0.5458904504776001,03257
175,41,$\theta$,-0.25014007091522217,03262
176,42,$\theta$,-0.2071538269519806,03362
177,43,$\theta$,-0.3647213280200958,03379
178,44,$\theta$,0.6575347185134888,03435
179,45,$\theta$,-0.23962706327438354,12647
180,1,$\theta$,-0.5891400575637817,00792
181,2,$\theta$,-0.32510948181152344,00882
182,3,$\theta$,-0.23066510260105133,01291
183,4,$\theta$,-0.08582575619220734,01366
184,5,$\theta$,-0.34558624029159546,01469
185,6,$\theta$,-0.8050562143325806,01482
186,7,$\theta$,-0.422881543636322,01526
187,8,$\theta$,-0.7069282531738281,01664
188,9,$\theta$,-0.4904947280883789,01758
189,10,$\theta$,-0.46826863288879395,01805
190,11,$\theta$,0.4368009567260742,01807
191,12,$\theta$,-0.7961410880088806,01841
192,13,$\theta$,-0.26971423625946045,01876
