,subject,parameter,value,ID
0,1,$\theta$,-0.6689603328704834,00513
1,2,$\theta$,-0.16257235407829285,01063
2,3,$\theta$,-0.5973671674728394,01079
3,4,$\theta$,0.1578277349472046,01101
4,5,$\theta$,-0.10462606698274612,01104
5,6,$\theta$,-0.9344099164009094,01261
6,7,$\theta$,0.18673573434352875,01268
7,8,$\theta$,-0.38276445865631104,01271
8,9,$\theta$,-0.29520881175994873,01272
9,10,$\theta$,0.05181421339511871,01281
10,11,$\theta$,-0.542153000831604,01293
11,12,$\theta$,0.11172620952129364,01320
12,13,$\theta$,-0.23597049713134766,01323
13,14,$\theta$,-0.2228349894285202,01326
14,15,$\theta$,-0.22656911611557007,01332
15,16,$\theta$,-0.58046954870224,01335
16,17,$\theta$,-0.5025452375411987,01343
17,18,$\theta$,0.25522947311401367,01344
18,19,$\theta$,-0.994830846786499,01351
19,20,$\theta$,-0.5498051643371582,01354
20,21,$\theta$,-0.010882243514060974,01355
21,22,$\theta$,0.021163664758205414,01356
22,23,$\theta$,-0.4087424576282501,01358
23,24,$\theta$,0.0300384983420372,01379
24,25,$\theta$,-0.24675852060317993,01390
25,26,$\theta$,-0.7018526196479797,01414
26,27,$\theta$,-0.6508224606513977,01443
27,28,$\theta$,-0.15929913520812988,01447
28,29,$\theta$,-0.849820613861084,01448
29,30,$\theta$,-0.02657989412546158,01449
30,31,$\theta$,-0.33823996782302856,01456
31,32,$\theta$,-0.08511006832122803,01457
32,33,$\theta$,-0.6059527397155762,01460
33,34,$\theta$,0.0029986202716827393,01476
34,35,$\theta$,-0.4684983491897583,01547
35,36,$\theta$,-0.690326988697052,01549
36,37,$\theta$,0.288311243057251,01560
37,38,$\theta$,-0.1516389697790146,01561
38,39,$\theta$,-0.8802551031112671,01611
39,40,$\theta$,-0.593921422958374,01614
40,41,$\theta$,-0.18104714155197144,01630
41,42,$\theta$,-0.33589184284210205,01646
42,43,$\theta$,-0.9128937125205994,01647
43,44,$\theta$,-1.1383568048477173,01840
44,45,$\theta$,-0.31533998250961304,01861
45,1,$\theta$,-0.4104396104812622,00513
46,2,$\theta$,-0.1043969988822937,01063
47,3,$\theta$,-0.9117127656936646,01079
48,4,$\theta$,0.10845240950584412,01101
49,5,$\theta$,-0.1456897258758545,01104
50,6,$\theta$,-0.8307899832725525,01261
51,7,$\theta$,-0.11877340078353882,01268
52,8,$\theta$,-0.6879146099090576,01271
53,9,$\theta$,-0.34143126010894775,01272
54,10,$\theta$,-0.11534155905246735,01281
55,11,$\theta$,-0.12895379960536957,01293
56,12,$\theta$,0.2440466582775116,01320
57,13,$\theta$,-0.2809038758277893,01323
58,14,$\theta$,-0.3080590069293976,01326
59,15,$\theta$,-0.16977617144584656,01332
60,16,$\theta$,-0.670538067817688,01335
61,17,$\theta$,-0.2504381239414215,01343
62,18,$\theta$,0.12648507952690125,01344
63,19,$\theta$,-0.7474433183670044,01351
64,20,$\theta$,-0.24182143807411194,01354
65,21,$\theta$,-0.3440999984741211,01355
66,22,$\theta$,-0.17416518926620483,01356
67,23,$\theta$,-0.5975609421730042,01358
68,24,$\theta$,-0.04395539313554764,01379
69,25,$\theta$,-0.7005323171615601,01390
70,26,$\theta$,-0.6154423356056213,01414
71,27,$\theta$,-0.9298440217971802,01443
72,28,$\theta$,-0.2520114481449127,01447
73,29,$\theta$,-1.1053791046142578,01448
74,30,$\theta$,-0.21198225021362305,01449
75,31,$\theta$,-0.11324939131736755,01456
76,32,$\theta$,-0.7148547768592834,01457
77,33,$\theta$,-0.44455793499946594,01460
78,34,$\theta$,-0.2627919018268585,01476
79,35,$\theta$,-0.3131803870201111,01547
80,36,$\theta$,-0.8838258385658264,01549
81,37,$\theta$,0.05578958988189697,01560
82,38,$\theta$,-0.4185140132904053,01561
83,39,$\theta$,-0.5295140743255615,01611
84,40,$\theta$,-0.42781907320022583,01614
85,41,$\theta$,-0.028657987713813782,01630
86,42,$\theta$,-0.21822263300418854,01646
87,43,$\theta$,-0.46796706318855286,01647
88,44,$\theta$,-1.2322769165039062,01840
89,45,$\theta$,-0.13267385959625244,01861
90,1,$\theta$,-0.24769511818885803,00513
91,2,$\theta$,-0.2011708915233612,01063
92,3,$\theta$,-0.6203145980834961,01079
93,4,$\theta$,-0.044788360595703125,01101
94,5,$\theta$,-0.08389902114868164,01104
95,6,$\theta$,-0.8328960537910461,01261
96,7,$\theta$,-0.25581005215644836,01268
97,8,$\theta$,-0.4984724819660187,01271
98,9,$\theta$,-0.20696675777435303,01272
99,10,$\theta$,-0.10207358747720718,01281
100,11,$\theta$,-0.4150877594947815,01293
101,12,$\theta$,0.18721865117549896,01320
102,13,$\theta$,-0.25690117478370667,01323
103,14,$\theta$,-0.3670535087585449,01326
104,15,$\theta$,-0.34614554047584534,01332
105,16,$\theta$,-0.6418414115905762,01335
106,17,$\theta$,-0.6752148866653442,01343
107,18,$\theta$,0.07448470592498779,01344
108,19,$\theta$,-0.6970763802528381,01351
109,20,$\theta$,-0.4865745007991791,01354
110,21,$\theta$,0.07071822881698608,01355
111,22,$\theta$,-0.13126450777053833,01356
112,23,$\theta$,-0.4038926362991333,01358
113,24,$\theta$,-0.08833267539739609,01379
114,25,$\theta$,-0.17951932549476624,01390
115,26,$\theta$,-0.3718763291835785,01414
116,27,$\theta$,-0.8466479182243347,01443
117,28,$\theta$,-0.5092802047729492,01447
118,29,$\theta$,-0.5892680287361145,01448
119,30,$\theta$,0.016137123107910156,01449
120,31,$\theta$,-0.3314339518547058,01456
121,32,$\theta$,-0.3378908038139343,01457
122,33,$\theta$,-0.6651816964149475,01460
123,34,$\theta$,-0.19577766954898834,01476
124,35,$\theta$,-0.3145645558834076,01547
125,36,$\theta$,-1.188536286354065,01549
