,subject,parameter,value,ID
0,1,$\theta$,-0.8578714728355408,00390
1,2,$\theta$,-0.42508944869041443,00513
2,3,$\theta$,0.025251105427742004,01101
3,4,$\theta$,-0.6349130868911743,01102
4,5,$\theta$,0.06765466183423996,01104
5,6,$\theta$,-0.4866243302822113,01118
6,7,$\theta$,-0.45428287982940674,01129
7,8,$\theta$,-1.1127249002456665,01261
8,9,$\theta$,0.14857275784015656,01268
9,10,$\theta$,-0.35053059458732605,01271
10,11,$\theta$,-0.13990674912929535,01272
11,12,$\theta$,-0.21857932209968567,01281
12,13,$\theta$,-0.17631927132606506,01293
13,14,$\theta$,-0.20652349293231964,01323
14,15,$\theta$,-0.0665583610534668,01332
15,16,$\theta$,-0.265679270029068,01334
16,17,$\theta$,-0.4643920660018921,01335
17,18,$\theta$,0.17232352495193481,01344
18,19,$\theta$,-0.6232283711433411,01351
19,20,$\theta$,-0.2727817893028259,01354
20,21,$\theta$,-0.1291673630475998,01355
21,22,$\theta$,0.13998588919639587,01356
22,23,$\theta$,-0.14108894765377045,01357
23,24,$\theta$,-0.6614233255386353,01358
24,25,$\theta$,-0.2979309558868408,01362
25,26,$\theta$,-0.4457976520061493,01379
26,27,$\theta$,-0.4710107743740082,01390
27,28,$\theta$,-1.1641098260879517,01443
28,29,$\theta$,-0.5873771905899048,01449
29,30,$\theta$,-0.16976021230220795,01456
30,31,$\theta$,-0.7181004881858826,01457
31,32,$\theta$,-0.900148868560791,01460
32,33,$\theta$,-0.6834446787834167,01510
33,34,$\theta$,-0.6511982679367065,01549
34,35,$\theta$,-0.3364187479019165,01559
35,36,$\theta$,0.022247955203056335,01560
36,37,$\theta$,-0.6308116316795349,01614
37,38,$\theta$,-0.4850867986679077,01619
38,39,$\theta$,-0.2831650972366333,01622
39,40,$\theta$,-0.24382691085338593,01630
40,41,$\theta$,-0.37005093693733215,01646
41,42,$\theta$,-0.6808042526245117,01647
42,43,$\theta$,-0.3461151123046875,01725
43,44,$\theta$,-1.111903429031372,01840
44,45,$\theta$,-0.024568043649196625,01861
45,1,$\theta$,-0.6540828943252563,00390
46,2,$\theta$,-0.45774316787719727,00513
47,3,$\theta$,0.06897652894258499,01101
