,0
0,12635.535
1,12515.01125
2,12399.49375
3,12382.3675
4,12410.13375
5,12262.3775
6,12109.60625
7,12119.92
8,12086.93125
9,11874.00375
10,11830.60625
11,11803.49875
12,11757.6975
13,11679.5575
14,11709.46125
15,11452.99375
16,11510.46
17,11487.6925
18,11428.345
19,11319.485
20,11310.39
21,11336.3375
22,11146.4375
23,11207.6075
24,11136.27
25,11080.805
26,11066.97625
27,11034.3875
28,10953.35375
29,10922.845
30,10871.5875
31,10775.65875
32,10844.21875
33,10775.96125
34,10729.01125
35,10673.07875
36,10670.0375
37,10589.25875
38,10568.13625
39,10518.465
40,10506.40375
41,10485.375625
42,10464.9125
43,10446.926875
44,10416.23375
45,10352.0425
46,10342.715625
47,10307.81125
48,10283.28875
49,10246.714375
50,10270.79125
51,10233.355625
52,10179.304375
53,10190.34375
54,10108.309375
55,10130.40125
56,10123.985625
57,10067.606875
58,10041.096875
59,9982.76625
60,10004.5825
61,9968.145625
62,9965.51125
63,9958.035
64,9957.82125
65,9932.7075
66,9897.335625
67,9882.38
68,9843.1
69,9825.819375
70,9826.164375
71,9783.275625
72,9788.4525
73,9778.116875
74,9734.92625
75,9775.941875
76,9737.786875
77,9713.73875
78,9696.00625
79,9666.284375
80,9678.41
81,9689.22375
82,9653.925
83,9620.93
84,9613.771875
85,9590.016875
86,9575.15625
87,9559.465
88,9512.129375
89,9535.000625
90,9535.22625
91,9499.69875
92,9493.720625
93,9471.275625
94,9446.821875
95,9436.210625
96,9446.144375
97,9457.275
98,9400.728125
99,9424.601875
100,9420.91625
101,9377.524375
102,9411.663125
103,9390.41625
104,9384.86125
105,9353.53375
106,9365.704375
107,9341.48625
108,9340.264375
109,9323.7175
110,9294.4175
111,9327.81625
112,9305.52875
113,9285.433125
114,9299.739375
115,9258.30375
116,9262.265625
117,9250.535625
118,9243.54
119,9244.88125
120,9228.001875
121,9237.208125
122,9203.8475
123,9199.9075
124,9185.78875
125,9185.6425
126,9169.375
127,9171.96875
128,9148.381875
129,9144.405
130,9136.510625
131,9140.696875
132,9125.099375
133,9124.623125
134,9112.258125
135,9107.344375
136,9094.984375
137,9080.60625
138,9091.51625
139,9057.328125
140,9058.26625
