,0
0,18585.94375
1,18501.6025
2,18340.5275
3,18253.5225
4,18122.6975
5,18011.68125
6,17937.91625
7,17771.76
8,17743.73375
9,17536.52
10,17389.55125
11,17505.24375
12,17276.61875
13,17140.26375
14,17083.8275
15,16957.545
16,16915.9
17,16840.2925
18,16800.2025
19,16747.0775
20,16535.62875
21,16488.2625
22,16449.96375
23,16403.075
24,16279.18375
25,16260.69375
26,16225.03625
27,16087.555
28,16049.14375
29,16012.0625
30,15978.01
31,15915.21
32,15859.56625
33,15810.01375
34,15737.8775
35,15729.98125
36,15665.88375
37,15600.3925
38,15554.17875
39,15504.71125
40,15474.55
41,15431.675
42,15320.02125
43,15298.595
44,15286.47
45,15235.24
46,15157.96
47,15155.9625
48,15148.47875
49,15103.955
50,15012.00625
51,14986.61125
52,15033.93
53,14968.01125
54,14883.3675
55,14873.39875
56,14834.58625
57,14827.375
58,14758.9525
59,14764.62125
60,14705.52375
61,14638.41875
62,14650.8875
63,14578.54125
64,14553.7325
65,14577.2725
66,14544.59375
67,14556.1825
68,14468.99
69,14442.36625
70,14388.08625
71,14410.81625
72,14379.7775
73,14388.31625
74,14329.7225
75,14323.7075
76,14334.68
77,14266.8075
78,14236.6925
79,14279.545
80,14197.25125
81,14160.585
82,14139.625
83,14148.8025
84,14142.63375
85,14119.01375
86,14081.12875
87,14076.905
88,14049.4325
89,14021.8725
90,14030.21125
91,13971.9675
92,13954.51
93,13986.0275
94,13922.0075
95,13884.87375
96,13880.80125
97,13839.11
98,13850.5225
99,13857.82375
100,13820.7
101,13833.59125
102,13812.395
103,13797.43625
104,13773.06125
105,13760.72125
106,13762.925
107,13721.36875
108,13722.66125
109,13706.8675
110,13695.39625
111,13648.75625
112,13637.40125
113,13624.55625
114,13637.51375
115,13636.7825
116,13611.00125
117,13607.58125
118,13568.08625
119,13555.34875
120,13578.42875
121,13554.695
122,13506.255
123,13527.8375
124,13512.94625
125,13495.27125
126,13474.5325
127,13490.0475
128,13463.505
129,13432.76
130,13459.8625
131,13417.50375
132,13406.49125
133,13389.44
134,13381.47875
135,13393.87625
136,13364.21625
137,13360.75125
138,13359.375
139,13358.7575
140,13322.45875
141,13300.815
142,13324.4425
143,13299.8625
144,13271.9775
145,13281.395
146,13265.77375
147,13279.7675
148,13228.79125
149,13234.87875
150,13213.895
151,13219.82875
152,13219.1725
153,13203.8475
154,13198.3675
155,13174.50625
156,13161.09125
157,13177.53375
158,13156.51125
159,13160.96375
160,13130.8675
161,13123.0525
162,13156.73125
163,13111.21125
164,13081.80625
165,13079.75375
166,13110.66625
167,13077.24625
168,13068.51875
169,13060.37625
170,13057.52625
171,13052.3375
172,13046.47875
173,13025.82
174,13019.62125
175,13028.67625
176,13021.5875
177,13006.36375
178,12995.59875
179,12970.4775
180,12968.27625
181,12965.52625
182,12950.82125
183,12933.83875
184,12942.0225
185,12918.19375
186,12939.92125
187,12905.0125
188,12918.3675
189,12894.5775
190,12891.44625
191,12882.3475
192,12876.49375
193,12871.42125
194,12851.43
195,12866.7375
196,12855.91125
197,12843.50125
198,12829.41875
199,12830.4
200,12821.4025
201,12829.18125
202,12814.53625
203,12781.7725
204,12810.98375
205,12792.00125
206,12798.49875
207,12784.4825
208,12780.46375
209,12765.66
210,12777.1525
211,12757.31375
212,12744.90625
213,12734.65875
214,12733.71875
215,12722.175
216,12707.83875
217,12720.13
218,12706.61875
219,12695.95
220,12681.11125
221,12678.44125
222,12671.635
223,12660.56625
224,12661.605
225,12672.435
226,12658.2775
227,12648.9275
228,12648.81875
229,12640.7925
230,12621.91625
231,12637.8125
232,12628.7175
233,12606.38125
234,12609.5125
235,12612.4
236,12593.8825
237,12571.5775
238,12578.1425
239,12567.75125
240,12567.67375
241,12552.35875
242,12543.445
243,12552.67875
244,12545.63875
245,12535.6825
246,12521.46875
247,12533.48375
248,12519.7575
249,12509.91375
250,12528.5125
251,12497.5825
252,12499.23375
253,12496.81875
254,12493.16125
255,12496.21875
256,12467.78
257,12477.745
258,12466.11875
259,12451.29
260,12454.41375
261,12448.5125
262,12441.97
263,12451.54125
264,12428.23625
265,12414.5025
266,12429.69625
267,12413.73
268,12409.205
269,12416.84875
270,12398.185
271,12399.86375
272,12377.79625
273,12401.30875
274,12375.845
275,12378.8325
276,12379.21875
277,12355.25375
278,12361.49375
279,12354.2425
280,12347.72625
281,12344.22875
282,12336.905
283,12330.2575
284,12340.98875
285,12318.025
286,12325.77
287,12308.29125
288,12308.195
289,12303.43125
290,12290.37125
291,12301.925
292,12296.23
293,12285.23375
294,12281.6275
295,12287.5275
296,12270.4725
297,12259.8275
298,12262.165
299,12261.9175
300,12255.0025
301,12256.05375
302,12251.8325
303,12233.89875
304,12232.32
305,12236.89375
306,12240.315
307,12224.02125
308,12218.74
309,12218.47875
310,12210.85625
311,12205.85
312,12196.605
313,12194.67125
314,12202.2875
315,12192.98
316,12185.165
317,12181.04625
318,12183.795
319,12172.7975
320,12177.49125
321,12167.14
322,12165.79375
323,12164.4425
324,12156.87375
325,12158.22875
326,12153.5725
327,12136.2425
328,12146.49375
329,12131.1775
330,12131.23
331,12128.6825
332,12140.145
333,12125.90875
334,12118.6075
335,12118.56
336,12109.8325
337,12110.8175
338,12110.035
339,12109.735
340,12110.185
341,12102.7325
342,12093.91
343,12092.95625
344,12091.30625
345,12091.3725
346,12086.15375
347,12067.0175
348,12081.53625
349,12065.50125
350,12060.16125
351,12068.88375
352,12066.6475
353,12061.595
354,12063.6075
355,12062.17125
356,12062.0875
357,12044.47125
358,12048.08125
359,12046.5675
360,12044.4975
361,12043.39625
362,12032.90625
363,12028.36125
364,12037.43625
365,12025.2775
366,12021.5
367,12021.3375
368,12020.965
369,12011.18875
370,12017.65875
371,12017.5625
372,12009.26875
373,12003.95375
374,11999.42375
375,11997.71625
376,12002.49875
377,11992.48125
378,11992.26125
379,11992.09
380,11991.5925
381,11979.4925
382,11977.06875
383,11980.095
384,11976.7525
385,11974.825
386,11971.07875
387,11970.0025
388,11972.85625
389,11964.23375
390,11962.5625
391,11960.08125
392,11960.4175
393,11958.285
394,11958.1225
395,11957.1175
396,11952.49125
397,11953.43125
398,11946.91625
399,11941.94625
400,11950.1275
401,11944.5075
402,11940.1675
403,11936.04375
404,11936.21
405,11934.44375
406,11935.79625
407,11930.95625
408,11928.14375
409,11932.18375
410,11922.5575
411,11925.13
412,11925.09625
413,11924.98625
414,11915.69125
415,11914.79375
416,11912.91875
417,11916.2875
418,11915.3675
419,11913.9025
420,11911.22125
421,11909.6975
422,11914.97875
423,11902.7525
424,11905.8075
425,11899.84875
426,11905.2225
427,11900.08125
428,11892.435
429,11894.085
430,11892.97375
431,11891.92625
432,11890.72875
433,11891.155
434,11885.305
435,11891.23625
436,11887.69
437,11883.755
438,11884.3525
439,11886.92875
440,11879.4975
441,11881.4525
442,11876.04375
443,11876.3575
444,11876.19875
445,11875.715
446,11871.08125
447,11872.97625
448,11872.91
449,11868.77
450,11867.435
451,11869.6275
452,11868.365
453,11866.05375
454,11866.415
455,11860.6625
456,11861.085
457,11862.9425
458,11860.0275
459,11857.42125
460,11856.56625
461,11857.6525
462,11857.79125
463,11854.5025
464,11851.19875
465,11852.49875
466,11851.06
467,11847.0575
468,11851.33875
469,11848.655
470,11846.03875
471,11848.83875
472,11847.68875
473,11844.13375
474,11845.065
475,11844.33375
476,11843.92875
477,11845.4275
478,11838.18375
479,11840.4325
480,11840.2675
481,11837.63375
482,11836.29
483,11839.62875
484,11838.0375
485,11836.75125
486,11837.85
487,11833.0625
488,11832.5625
489,11835.3975
490,11829.70375
491,11827.84
492,11828.755
493,11826.76875
494,11828.94875
495,11826.5
496,11825.7025
497,11826.90375
498,11823.505
499,11826.12375
500,11823.45
501,11823.49125
502,11823.80125
503,11819.79375
504,11824.14875
505,11823.815
506,11820.00875
507,11818.96375
508,11819.4225
509,11817.4575
510,11818.42375
511,11817.1625
512,11817.97125
513,11815.94125
514,11816.15125
515,11816.62125
516,11815.125
517,11812.2125
518,11811.81875
519,11812.6325
520,11814.8725
521,11811.47
522,11805.9225
523,11810.15625
524,11811.43375
525,11808.76
526,11807.64375
527,11809.59
528,11806.41875
529,11805.7
530,11808.625
531,11802.16625
532,11800.82875
533,11802.855
534,11800.7875
535,11801.9975
536,11803.77125
537,11801.2625
538,11801.26625
539,11799.28125
540,11799.53375
541,11801.12
542,11797.56625
543,11799.8625
544,11801.36875
545,11801.47
546,11797.51125
547,11796.70375
548,11795.8
549,11797.46125
550,11795.99375
551,11797.79
552,11795.55
553,11793.4675
554,11791.83375
555,11794.98375
556,11792.9375
557,11791.07375
558,11792.77375
559,11792.6325
560,11793.02625
561,11789.86125
562,11794.77375
563,11790.57
564,11790.23625
565,11789.245
566,11787.7375
567,11787.4125
568,11790.73875
569,11787.75875
570,11788.7975
571,11786.48625
572,11785.20625
573,11785.375
574,11787.7125
575,11785.8325
576,11786.075
577,11785.19375
578,11783.8375
579,11785.4475
580,11783.98
581,11782.66875
582,11783.4725
583,11782.2125
584,11782.76875
585,11782.90875
586,11780.61625
587,11782.0175
588,11782.925
589,11782.675
590,11780.02
591,11781.53875
592,11780.59
593,11779.26
594,11776.80625
595,11778.7425
596,11780.7025
597,11777.1775
598,11776.505
599,11777.365
600,11777.5025
601,11775.07625
602,11777.865
603,11776.85
604,11777.36125
605,11775.68625
606,11777.39
607,11775.97
608,11775.40625
609,11775.4225
610,11772.195
611,11773.51125
612,11773.37125
613,11772.8325
614,11773.875
615,11773.095
616,11772.89
617,11772.9025
618,11773.105
619,11772.29875
620,11771.76375
621,11771.6775
622,11771.02875
623,11771.14875
624,11771.265
625,11772.01375
626,11769.9625
627,11770.09875
628,11771.43875
629,11771.13875
630,11767.31125
631,11770.65
632,11770.96875
633,11771.3125
634,11768.47375
635,11768.37
636,11767.57125
637,11769.8775
638,11765.13625
639,11767.7575
640,11766.96
641,11765.1625
642,11766.36625
643,11765.4225
644,11765.07
645,11767.09375
646,11765.0675
647,11765.30125
648,11765.73875
649,11765.64125
650,11764.66875
651,11766.18875
652,11765.39625
653,11763.785
654,11764.56
655,11763.8375
656,11762.365
657,11761.88375
658,11760.875
659,11764.27625
660,11759.95625
661,11762.59375
662,11762.02375
663,11760.8975
664,11763.1475
665,11761.35125
666,11761.79125
667,11761.195
668,11761.0275
669,11761.73875
670,11761.19875
671,11762.40375
672,11760.0075
673,11761.40125
674,11760.21125
675,11760.66125
676,11758.68125
677,11759.8075
678,11758.81875
679,11758.5925
680,11758.08875
681,11757.1575
682,11758.73125
683,11757.305
684,11758.14875
685,11757.6525
686,11757.10625
687,11755.71625
688,11756.3275
689,11756.47375
690,11757.5075
691,11758.56875
692,11757.545
693,11756.5975
694,11756.9275
695,11755.72875
696,11755.65125
697,11756.39125
698,11756.39875
699,11759.43125
700,11755.66375
701,11757.8875
702,11755.9875
703,11753.63875
704,11754.31625
705,11755.4125
706,11754.16625
707,11754.95625
708,11753.28625
709,11753.675
710,11753.39
711,11753.40125
712,11752.6975
713,11752.64625
714,11753.23625
715,11755.6375
716,11753.4375
717,11753.265
718,11752.65625
719,11754.34125
720,11753.7775
721,11753.53
722,11752.90125
723,11753.36375
724,11751.92
725,11752.24625
726,11752.16375
727,11752.50375
728,11751.395
729,11750.155
730,11753.62875
731,11750.2475
732,11750.20875
733,11749.905
734,11750.37
735,11751.9225
736,11752.18125
737,11750.075
738,11751.5575
739,11750.61875
740,11751.11875
741,11750.08625
742,11750.31125
743,11750.34375
744,11749.16125
745,11748.16
746,11748.20875
747,11749.2125
748,11749.38
749,11747.705
750,11749.77375
751,11749.38375
752,11747.82375
753,11749.62125
754,11746.88375
755,11748.025
756,11747.165
757,11748.855
758,11748.05375
759,11746.905
760,11748.19875
761,11748.735
762,11748.3625
763,11747.99125
764,11747.34125
765,11745.4975
766,11746.245
767,11747.14
768,11745.66625
769,11746.12875
770,11747.14125
771,11747.255
772,11746.1525
773,11745.8775
774,11747.79375
775,11746.92375
776,11745.8975
777,11744.82625
778,11746.61125
779,11746.675
780,11744.3725
781,11746.17625
782,11746.41
783,11746.86375
784,11745.745
785,11745.2475
786,11744.475
787,11745.0075
788,11744.85375
789,11744.615
790,11744.66875
791,11744.31375
792,11744.27875
793,11743.86
794,11744.16875
795,11744.80125
796,11745.10875
797,11745.5025
798,11743.755
799,11744.105
800,11743.9425
801,11745.07875
802,11744.25875
803,11744.5575
804,11743.24375
805,11743.43625
806,11743.12125
807,11742.96125
808,11744.0975
809,11742.96625
810,11741.4625
811,11743.405
812,11744.22875
813,11742.80125
814,11743.59625
815,11742.46125
816,11743.015
817,11741.35375
818,11742.45125
819,11742.24875
820,11741.51875
821,11742.575
822,11742.09875
823,11742.3375
824,11743.64
825,11741.15875
826,11742.10375
827,11741.52875
828,11740.85375
829,11741.89375
830,11740.99
831,11740.57875
832,11742.245
833,11740.04
834,11740.66625
835,11740.92875
836,11741.23625
837,11742.4525
838,11740.55875
839,11739.72875
840,11740.52
841,11741.04375
842,11740.15125
843,11741.23375
844,11740.7775
845,11739.92875
846,11741.4325
847,11739.28625
848,11739.41625
849,11740.53375
850,11740.92625
851,11742.045
852,11740.5675
853,11740.765
854,11740.5025
855,11738.99375
856,11739.76
857,11740.60375
858,11739.71875
859,11739.95625
860,11740.0225
861,11739.77625
862,11739.4225
863,11739.165
864,11739.69375
865,11739.22375
866,11738.0225
867,11739.71875
868,11738.695
869,11738.69625
870,11738.5675
871,11738.2975
872,11738.455
873,11738.2
874,11740.21875
875,11738.75875
876,11737.23
877,11737.49625
878,11737.57125
879,11738.635
880,11738.51375
881,11738.27625
882,11738.6975
883,11738.1275
884,11739.0675
885,11738.00375
886,11737.91625
887,11738.82375
888,11738.885
889,11738.025
890,11738.77625
891,11738.57125
892,11737.95375
893,11737.85375
894,11738.72625
895,11737.04
896,11737.68125
897,11737.7975
898,11737.28
899,11737.0225
900,11736.9325
901,11737.9
902,11737.93125
903,11736.7225
904,11737.27125
905,11737.7275
906,11737.5175
907,11736.955
908,11735.68625
909,11736.27625
910,11736.26125
911,11737.24625
912,11736.80375
913,11735.995
914,11736.42375
915,11735.74
916,11736.84125
917,11736.07625
918,11735.57875
919,11736.11625
920,11735.91625
921,11736.765
922,11735.81125
923,11736.42625
924,11735.90375
925,11734.88875
926,11735.6225
927,11734.36
928,11736.5475
929,11735.52125
930,11736.1425
931,11735.255
932,11736.5575
933,11735.9
934,11735.82625
935,11735.0625
936,11735.30875
937,11734.0925
938,11736.09
939,11736.14875
940,11734.9325
941,11735.96875
942,11735.34375
943,11735.8925
944,11736.52125
945,11736.58
946,11734.80625
947,11736.0375
948,11735.695
949,11734.34
950,11734.68375
951,11733.8975
952,11735.0675
953,11735.08625
954,11734.42375
955,11734.985
956,11734.6
957,11735.9275
958,11735.18875
959,11734.82125
960,11734.68125
961,11735.46625
962,11734.14125
963,11734.8625
964,11733.92375
965,11734.97
966,11733.46375
967,11733.98875
968,11733.86375
969,11734.485
970,11734.015
971,11734.36625
972,11733.97
973,11733.9325
974,11733.8225
975,11734.16625
976,11734.035
977,11732.89875
978,11734.08
979,11733.82875
980,11733.40625
981,11733.435
982,11732.58
983,11734.01375
984,11733.86625
985,11733.6625
986,11733.41375
987,11732.29
988,11734.18625
989,11733.36875
990,11733.5875
991,11733.28375
992,11732.98875
993,11732.78875
994,11733.3075
995,11733.20875
996,11733.39125
997,11734.00375
998,11734.31375
999,11733.78875
