,0
0,12935.5
1,12832.1825
2,12725.55125
3,12535.0
4,12507.76
5,12394.2825
6,12348.4675
7,12236.26
8,12184.54875
9,12110.96125
10,12077.13875
11,11932.31125
12,11964.37625
13,11873.3525
14,11819.3875
15,11752.7475
16,11623.25625
17,11634.58375
18,11585.465
19,11489.79
20,11532.89625
21,11422.69375
22,11405.85375
23,11316.74125
24,11253.92375
25,11304.455
26,11139.68375
27,11153.97
28,11091.6925
29,11124.0975
30,11042.5775
31,10977.53125
32,10900.94125
33,10914.3725
34,10874.9275
35,10888.64375
36,10772.5375
37,10771.535
38,10723.4675
39,10691.59375
40,10704.7075
41,10643.84875
42,10638.45875
43,10546.26625
44,10570.31875
45,10491.2575
46,10503.3775
47,10436.3975
48,10462.5475
49,10402.11125
50,10374.04375
51,10321.87875
52,10323.329375
53,10278.096875
54,10289.200625
55,10275.356875
56,10230.571875
57,10204.523125
58,10243.380625
59,10174.57625
60,10182.87875
61,10142.856875
62,10121.213125
63,10116.659375
64,10070.016875
65,10078.115
66,10065.76625
67,10039.824375
68,10035.933125
69,10014.681875
70,9992.44125
71,9962.015625
72,9933.399375
73,9932.21375
74,9879.365625
75,9894.2075
76,9858.571875
77,9847.766875
78,9846.34875
79,9831.56375
80,9836.4575
81,9821.63625
82,9803.205
83,9795.96125
84,9785.583125
85,9752.47
86,9735.23375
87,9728.18125
88,9702.5875
89,9692.039375
90,9685.318125
91,9707.296875
92,9652.11625
93,9652.7375
94,9651.2375
95,9620.948125
96,9623.94375
97,9603.61125
98,9597.62625
99,9606.631875
100,9573.74
101,9594.14
102,9560.623125
103,9555.7725
104,9554.3525
105,9521.8325
106,9511.910625
107,9506.02
108,9507.27
109,9502.03875
110,9489.33375
111,9465.38875
112,9448.450625
113,9467.08625
114,9451.195
115,9449.73
116,9455.00875
117,9441.228125
118,9404.648125
119,9430.5075
120,9409.7075
121,9402.433125
122,9389.73875
123,9354.200625
124,9356.270625
125,9352.198125
126,9356.921875
127,9336.62875
128,9328.95125
129,9333.490625
130,9316.674375
131,9322.17625
132,9313.401875
133,9316.04125
134,9300.55625
135,9297.14875
136,9286.53625
137,9290.314375
138,9276.58
