,0
0,11288.3975
1,11273.375
2,11175.56125
3,11098.08625
4,11131.92875
5,11065.39125
6,10878.39625
7,10800.95875
8,10753.44875
9,10680.21
10,10672.94875
11,10562.8125
12,10557.10125
13,10472.47875
14,10436.496875
15,10328.31
16,10305.71625
17,10275.584375
18,10211.1625
19,10164.518125
20,10107.296875
21,10046.415625
22,10017.76375
23,9978.62875
24,9948.451875
25,9915.091875
26,9876.336875
27,9845.389375
28,9797.841875
29,9668.95625
30,9757.02125
31,9722.9575
32,9635.105625
33,9629.966875
34,9605.9025
35,9571.6825
36,9577.174375
37,9525.045
38,9506.444375
39,9437.641875
40,9451.92875
41,9426.424375
42,9391.5575
43,9340.4125
44,9348.175625
45,9295.04125
46,9258.263125
47,9306.345625
48,9227.7675
49,9219.939375
50,9202.70125
51,9152.16
52,9125.266875
53,9107.719375
54,9124.90125
55,9068.315625
56,9047.190625
57,9043.38
58,9029.22875
59,9005.99375
60,9014.495625
61,9004.379375
62,8958.319375
63,8942.99
64,8912.798125
65,8883.955625
66,8891.7675
67,8883.550625
68,8856.2625
69,8845.99
70,8854.060625
71,8821.176875
72,8807.895625
73,8774.886875
74,8770.055
75,8741.803125
76,8743.71
77,8752.525
78,8743.653125
79,8705.830625
80,8702.623125
81,8702.438125
82,8675.20375
83,8659.290625
84,8645.4325
85,8652.88625
86,8629.746875
87,8624.201875
88,8603.0
89,8576.48
90,8592.844375
91,8567.04375
92,8555.05125
93,8553.26375
94,8542.2775
95,8550.54125
96,8511.000625
97,8519.314375
98,8496.47125
99,8514.785
100,8486.755
101,8492.720625
102,8460.456875
103,8463.7425
104,8463.18
105,8443.9375
106,8443.25875
107,8428.66
108,8413.648125
109,8418.515
110,8406.233125
111,8392.524375
112,8404.700625
113,8373.85875
114,8360.7025
115,8368.603125
116,8356.035
117,8368.3925
118,8331.731875
119,8343.806875
120,8337.6775
121,8336.39
122,8316.344375
123,8304.905
124,8321.736875
125,8298.0775
126,8290.055625
127,8290.079375
128,8278.24625
129,8280.29375
130,8262.945
131,8263.083125
132,8245.3475
133,8251.6575
134,8236.616875
135,8231.670625
136,8236.218125
137,8236.708125
138,8212.43875
139,8217.87875
140,8205.7425
141,8214.051875
142,8198.73625
143,8189.164375
144,8163.0175
145,8184.579375
146,8171.860625
147,8168.811875
