,0
0,11487.14
1,11355.12625
2,11396.495
3,11278.22
4,11272.21375
5,11070.7025
6,11027.68625
7,11005.63875
8,10873.245
9,10873.8225
10,10811.58375
11,10741.175
12,10671.47875
13,10680.29125
14,10541.12125
15,10483.635625
16,10463.655
17,10439.228125
18,10374.1275
19,10359.381875
20,10276.331875
21,10241.553125
22,10208.67375
23,10135.60125
24,10128.4925
25,10016.36625
26,10031.31
27,10065.478125
28,10016.66125
29,9902.014375
30,9896.43
31,9876.493125
32,9872.02
33,9808.63
34,9762.84625
35,9755.58125
36,9697.594375
37,9715.39
38,9656.81125
39,9642.406875
40,9604.129375
41,9569.411875
42,9531.93875
43,9496.1975
44,9514.149375
45,9436.515
46,9423.159375
47,9441.505625
48,9397.8725
49,9349.866875
50,9372.971875
51,9288.87625
52,9331.6625
53,9283.100625
54,9256.955
55,9290.1875
56,9256.496875
57,9229.338125
58,9179.898125
59,9164.616875
60,9155.09
61,9117.9825
62,9117.56875
63,9077.48875
64,9088.725625
65,9043.158125
66,9046.006875
67,9030.893125
68,9046.484375
69,9046.304375
70,8985.2475
71,8986.8225
72,8997.91875
73,8944.80125
74,8945.84875
75,8938.17
76,8912.615625
77,8916.405625
78,8902.791875
79,8867.905
80,8862.520625
81,8854.49125
82,8868.483125
83,8825.583125
84,8818.800625
85,8807.48125
86,8791.945
87,8773.3175
88,8777.526875
89,8748.34875
90,8728.675625
91,8739.4025
92,8730.05125
93,8705.173125
94,8696.735
95,8701.574375
96,8666.498125
97,8672.470625
98,8663.10625
99,8654.36375
100,8657.43125
101,8634.6075
102,8628.239375
103,8629.19625
104,8619.173125
105,8596.381875
106,8599.29625
107,8602.34875
108,8571.93
109,8582.385
110,8584.58
111,8532.69875
112,8547.975625
113,8541.8175
114,8558.805625
115,8512.65875
116,8512.668125
117,8512.2425
118,8507.6525
119,8504.844375
120,8490.01625
121,8492.01125
122,8469.445625
123,8457.4225
124,8449.349375
125,8448.76375
126,8449.9175
127,8440.524375
128,8432.1825
129,8425.49125
130,8426.16125
131,8408.649375
132,8413.8475
133,8415.489375
134,8409.77875
