,0
0,18399.46875
1,18184.5
2,18188.775
3,18138.665
4,17912.38
5,17856.04125
6,17667.86125
7,17605.53125
8,17506.28
9,17399.01625
10,17181.05125
11,17083.725
12,17107.99
13,17009.22
14,16978.7325
15,16819.66625
16,16776.565
17,16688.12625
18,16614.37
19,16545.7375
20,16483.7775
21,16419.96
22,16293.86125
23,16195.335
24,16183.24625
25,16109.8975
26,16127.2875
27,16061.25125
28,15921.75125
29,15859.9575
30,15836.33
31,15696.0425
32,15746.8825
33,15635.5725
34,15663.25125
35,15614.10875
36,15560.12875
37,15505.1475
38,15466.74
39,15370.1525
40,15307.6825
41,15344.31125
42,15254.67125
43,15204.85
44,15179.58
45,15116.7175
46,15081.2725
47,15061.81375
48,15026.7575
49,14999.62875
50,14947.75875
51,14922.70625
52,14882.83375
53,14847.97125
54,14773.6
55,14797.385
56,14730.2125
57,14703.03125
58,14667.975
59,14670.89875
60,14623.94
61,14611.34375
62,14600.6075
63,14553.76375
64,14535.095
65,14512.59875
66,14429.33375
67,14442.75875
68,14410.14375
69,14409.66
70,14350.58
71,14382.90625
72,14348.67125
73,14304.28125
74,14259.2575
75,14271.52125
76,14263.42875
77,14234.39125
78,14184.325
79,14165.295
80,14163.03625
81,14131.12625
82,14132.93375
83,14103.145
84,14086.7325
85,14066.46375
86,14053.1775
87,14053.52125
88,13976.59375
89,13982.35875
90,13983.635
91,13974.01125
92,13931.49875
93,13958.39125
94,13885.7375
95,13908.1425
96,13891.85375
97,13893.3475
98,13846.67625
99,13808.50375
100,13825.55875
101,13823.6775
102,13788.86375
103,13782.285
104,13778.7675
105,13745.36875
106,13727.7075
107,13718.91
108,13713.6325
109,13717.00875
110,13693.19625
111,13660.09375
112,13678.9575
113,13648.78875
114,13617.8275
115,13633.4025
116,13599.8625
117,13608.5725
118,13582.5475
119,13576.79875
120,13554.18625
121,13568.95875
122,13547.78875
123,13544.3875
124,13520.13875
125,13508.05125
126,13491.3075
127,13509.80625
128,13481.3575
129,13480.76875
130,13450.07125
131,13453.89625
132,13442.42875
133,13438.24125
134,13414.595
135,13425.60125
136,13392.8075
137,13409.78375
138,13388.1575
139,13374.4975
140,13362.355
141,13351.3325
142,13352.19625
143,13316.36
144,13336.8525
145,13325.17125
146,13284.64625
147,13288.17
148,13283.39875
149,13277.90125
150,13286.92
151,13272.70375
152,13249.24375
153,13234.29875
154,13237.1825
155,13220.3075
156,13226.79125
157,13204.93375
158,13209.41
159,13197.52625
160,13193.13125
161,13165.24875
162,13170.535
163,13178.67125
164,13166.7925
165,13153.43
166,13141.3125
167,13131.235
168,13141.95625
169,13130.24
170,13123.13375
171,13092.38125
172,13078.755
173,13083.65125
174,13069.6125
175,13067.48875
176,13056.28375
177,13034.77
178,13034.44125
179,13028.38
180,13052.51875
181,13021.83625
182,12995.51875
183,13024.8375
184,12989.59125
185,12990.35
186,12977.725
187,12964.825
188,12965.935
189,12963.83
190,12970.98125
191,12944.645
192,12953.22375
193,12937.43
194,12937.165
195,12911.82375
196,12911.835
197,12906.05625
198,12896.03875
199,12891.59375
200,12883.25125
201,12882.6175
202,12884.3425
203,12862.0125
204,12870.43625
205,12844.385
206,12861.4675
207,12840.90875
208,12850.36625
209,12837.65875
210,12812.18125
211,12814.6975
212,12805.52
213,12809.39375
214,12792.28875
215,12804.66625
216,12796.3525
217,12798.7225
218,12788.1075
219,12764.405
220,12762.77625
221,12766.94
222,12757.47125
223,12756.46
224,12735.73875
225,12742.39625
226,12720.8775
227,12740.61125
228,12724.39125
229,12710.63375
230,12726.945
231,12702.93
232,12695.3725
233,12701.84625
234,12687.255
235,12680.14
236,12671.01125
237,12673.95125
238,12672.84
239,12661.2625
240,12656.0575
241,12648.72125
242,12648.3275
243,12638.5525
244,12648.59875
245,12644.9975
246,12643.1825
247,12628.105
248,12616.46625
249,12613.92625
250,12609.9425
251,12613.6825
252,12596.0575
253,12590.905
254,12587.44625
255,12583.12125
256,12574.035
257,12568.24875
258,12553.7375
259,12572.69
260,12560.43625
261,12565.38375
262,12550.1375
263,12544.32625
264,12545.7925
265,12540.9175
266,12542.29375
267,12526.2025
268,12529.755
269,12519.38375
270,12512.39125
271,12517.475
272,12509.9175
273,12520.795
274,12491.71625
275,12502.675
276,12497.34875
277,12490.685
278,12475.85625
279,12466.2525
280,12475.6
281,12481.40875
282,12474.065
283,12462.56625
284,12470.12625
285,12457.07
286,12458.49125
287,12457.2325
288,12436.11375
289,12448.22
290,12431.7075
291,12437.69125
292,12433.605
293,12432.46
294,12428.54125
295,12433.4
296,12425.98875
297,12411.4575
298,12412.8575
299,12403.12
300,12410.0425
301,12408.0125
302,12396.7575
303,12398.6475
304,12392.61
305,12388.99
306,12383.83125
307,12382.35125
308,12372.45
309,12374.85
310,12370.05875
311,12371.705
312,12360.8675
313,12365.48375
314,12358.205
315,12354.59625
316,12350.8425
317,12348.4225
318,12349.86125
319,12345.02875
320,12347.70125
321,12334.165
322,12337.96125
323,12334.03875
324,12338.445
325,12328.395
326,12326.33125
327,12323.03375
328,12325.16875
329,12318.84625
330,12313.33375
331,12311.31
332,12312.64375
333,12314.255
334,12309.10875
335,12303.12125
336,12306.51875
337,12301.71125
338,12292.43625
339,12300.14875
340,12284.535
341,12287.90625
342,12288.67
343,12289.7825
344,12287.60625
345,12280.25625
346,12280.90875
347,12282.59375
348,12280.845
349,12275.415
350,12279.8
351,12274.0175
352,12269.16375
353,12266.53875
354,12268.61375
355,12267.9125
356,12262.68375
357,12261.3025
358,12261.8225
359,12258.28625
360,12254.6675
361,12262.2975
362,12253.34375
363,12253.65125
364,12247.71875
365,12251.10625
366,12245.955
367,12247.7675
368,12240.8575
369,12239.66125
370,12239.185
371,12238.47625
372,12234.80875
373,12236.0725
374,12232.3725
375,12233.06
376,12231.96875
377,12232.985
378,12233.08875
379,12224.66125
380,12228.69375
381,12224.5275
382,12224.82875
383,12221.76
384,12222.1625
385,12220.54125
386,12220.88375
387,12214.83875
388,12217.62
389,12215.3675
390,12219.0325
391,12213.14
392,12212.97625
393,12216.455
394,12209.54625
395,12207.37375
396,12204.57
397,12207.465
398,12205.6725
399,12202.65
400,12203.6925
401,12202.8675
402,12202.92125
403,12203.57375
404,12199.63875
405,12199.8875
406,12198.5575
407,12194.97375
408,12197.495
409,12197.52
410,12195.14
411,12193.98375
412,12197.72
413,12191.81
414,12186.84625
415,12190.7875
416,12191.97125
417,12189.43
418,12185.83625
419,12186.84875
420,12184.885
421,12182.97625
422,12182.4975
423,12181.08875
424,12181.4075
425,12184.05875
426,12183.21375
427,12179.1775
428,12177.18125
429,12178.84
430,12177.71375
431,12176.80875
432,12172.315
433,12173.6875
434,12171.20875
435,12169.02
436,12172.7575
437,12172.53
438,12171.15625
439,12171.4625
440,12171.56
441,12171.6775
442,12170.17375
443,12166.28625
444,12169.4
445,12167.14875
446,12166.01875
447,12166.945
448,12166.635
449,12165.11125
450,12165.48625
451,12162.405
452,12164.96875
453,12165.12875
454,12163.6225
455,12157.56875
456,12160.97875
457,12160.09875
458,12160.23625
459,12158.165
460,12158.2625
461,12154.87875
462,12156.23625
463,12156.455
464,12156.995
465,12156.43
466,12155.1725
467,12158.9975
468,12157.23375
469,12154.47
470,12152.41125
471,12151.9725
472,12150.78875
473,12151.815
474,12150.4425
475,12150.63875
476,12150.99125
477,12152.73625
478,12149.75125
479,12147.085
480,12147.345
481,12149.11125
482,12147.2875
483,12141.9275
484,12147.49625
485,12144.495
486,12144.63125
487,12146.48125
488,12144.41
489,12144.8525
490,12142.335
491,12140.93625
492,12143.50125
493,12140.91375
494,12141.5675
495,12144.01125
496,12141.40875
497,12141.7125
498,12136.03875
499,12139.37
500,12141.755
501,12143.48875
502,12137.815
503,12135.645
504,12138.035
505,12139.4
506,12135.71875
507,12136.73125
508,12136.455
509,12136.72625
510,12134.37
511,12135.65875
512,12136.54375
513,12137.4525
514,12132.28375
515,12132.97875
516,12130.9
517,12132.3875
518,12132.52375
519,12131.4125
520,12132.425
521,12132.92625
522,12134.09625
523,12129.77
524,12131.42125
525,12131.0075
526,12131.60875
527,12131.15875
528,12130.23125
529,12129.98875
530,12129.8875
531,12129.7
532,12130.00125
533,12129.35375
534,12128.5575
535,12126.59625
536,12125.94875
537,12127.26
538,12128.49125
539,12124.99
540,12125.80625
541,12126.075
542,12127.3675
543,12125.97125
544,12127.96875
545,12123.1875
546,12124.39625
547,12123.76875
548,12125.3275
549,12123.42625
550,12126.0475
551,12122.4775
552,12121.59625
553,12122.925
554,12121.79625
555,12121.48125
556,12123.405
557,12119.0325
558,12124.44875
559,12120.88625
560,12121.67625
561,12120.77375
562,12120.5575
563,12119.3525
564,12120.055
565,12119.42
566,12116.64
567,12118.235
568,12119.52875
569,12117.145
570,12116.845
